"y","x1","x2","x3","x4","x5","x6"
5395670.651,2.964,14.598,2.109,1.938,2.185,2.198
219155407.924,4.019,57.728,2.305,1.946,1.766,3.234
2981203.289,2.092,7.358,1.39,2.377,3.187,1.22
6243953.314,1.82,14.121,1.712,2.757,2.468,2.844
25523504.728,2.338,19.884,1.865,2.212,2.59,2.109
195153492.009,4.053,84.505,2.332,1.944,1.624,3.634
71034291.315,2.064,19.527,1.794,2.218,2.213,3.036
102188506.655,3.342,40.875,2.258,1.736,2.251,3.158
19468658.156,2.754,21.597,2.018,1.894,2.11,2.562
44383487.074,3.343,37.316,2.185,2.397,1.975,2.707
21900963.301,2.872,32.1,2.151,2.285,1.924,3.49
276773790.866,4.032,59.224,2.557,1.825,1.838,3.048
9023583.259,3.897,30.509,2.22,1.662,1.852,3.118
424604368.68,3.454,52.217,2.213,1.729,2.043,3.427
30568882.824,3.444,23.736,2.178,2.182,2.09,2.381
107300259.977,4.426,54.077,2.474,1.512,2.012,3.125
238186287.508,4.142,85.988,2.528,1.497,1.452,3.686
2460148.681,1.364,7.217,1.535,2.827,2.733,2.059
453919163.407,4.329,129.097,2.665,1.72,1.364,3.978
29444421.8,3.261,34.802,2.186,1.873,1.856,2.899
15240302.917,2.727,12.991,1.884,1.943,2.246,2.705
6018861.654,1.947,9.193,1.435,2.316,2.976,2.36
5445104.793,2.441,8.128,1.639,2.159,3.05,2.167
728766418.311,4.486,78.607,2.548,1.54,1.562,3.579
129788378.539,3.292,36.853,2.235,2.111,2.102,2.897
24214556.579,2.935,26.395,1.747,2.019,2.044,3.198
39390334.996,2.541,11.646,1.526,2.473,2.762,2.383
85724761.681,3.721,44.478,2.152,1.487,2.023,3.199
94562038.787,2.878,34.827,2.094,2.03,1.657,3.893
6209074.955,2.191,9.598,1.59,2.244,3.092,1.864
5362129.652,1.667,9.952,1.691,2.384,2.551,1.854
260471386.94,3.689,53.295,2.328,1.316,2.052,3.668
23056191.756,2.64,17.916,1.991,1.844,2.289,2.479
19146862.178,3.284,25.014,2.122,1.804,2.29,3.086
3848005.504,2.002,8.868,1.607,2.593,2.866,2.18
1108863.251,1.36,4.874,1.518,2.472,3.152,1.701
829566059.099,4.581,57.623,2.601,1.539,1.493,2.979
227342773.566,2.763,24.767,1.968,2.419,2.477,2.165
118880.244,1.649,3.606,1.585,2.629,2.991,1.105
12272118.504,2.393,14.96,1.679,2.302,2.484,2.698
10596145.539,2.729,16.303,1.904,2.007,2.34,2.303
11628867.674,2.878,17.499,1.988,2.095,2.24,2.02
8501933.197,2.872,20.583,1.718,2.578,2.466,1.961
6509691.993,1.469,10.708,1.474,2.748,2.616,2.15
9547664.828,2.404,12.568,1.748,2.122,2.805,1.946
35151880.94,3.206,25.397,2.296,1.868,1.945,3.316
353661322.208,4.018,120.911,2.668,1.932,4.118,4.117
27338963.597,3.555,37.157,2.517,1.994,1.764,3.615
1817105.86,1.85,6.209,1.421,2.392,2.785,2.122
170167035.964,4.269,40.005,2.446,1.691,1.871,2.698
1931371.679,2.125,4.978,1.374,2.407,3.088,1.119
341278.652,1.29,3.975,1.512,3.149,2.909,1.173
178915086.296,3.802,54.971,2.32,1.614,1.965,3.178
87624646.82,3.749,66.728,2.129,2.4,1.938,2.579
3455651.864,1.659,5.881,1.275,2.65,2.989,1.993
47545031.564,2.434,21.717,2.075,1.842,2.347,3.494
42644030.868,2.252,17.008,1.823,2.115,2.581,3.035
119815817.714,4.063,43.641,2.153,1.869,1.785,3.751
90445522.001,3.146,45.571,2.268,2.17,1.79,3.23
25173635.734,3.254,24.488,2.058,2.177,2.072,3.422
29956234.8,3.392,33.333,2.147,1.657,1.802,3.487
304769925.5,4.197,46.411,2.662,1.532,2.057,2.672
21785468.289,3.175,29.487,2.312,2.306,2.034,2.824
173341130.186,3.672,41.662,2.163,2.16,2.252,2.662
7653198.723,1.462,6.695,1.275,2.926,3.036,1.382
66389108.349,2.28,19.994,1.988,2.546,2.333,2.704
2380947.248,2.859,8.325,1.905,2.484,2.893,1.446
1913819.206,1.676,4.359,1.619,2.3,3.239,1.085
9369753.138,3.116,22.891,2.165,1.863,1.98,2.785
135452714.339,3.799,27.85,2.05,2.163,2.134,2.642
40919869.307,3.595,35.764,2.154,1.482,1.933,2.777
71292426.608,3.079,40.046,2.219,2.39,2.019,2.941
7012839.32,2.078,6.509,1.53,2.41,3.337,1.341
82087620.314,2.853,35.681,2.261,2.304,1.995,3.057
213088134.083,3.233,66.087,2.247,2.091,1.715,3.991
4821683.066,2.544,10.554,1.629,1.938,2.539,2.844
394490992.809,4.282,115.919,2.565,1.502,1.454,4.155
13428356.919,3.026,23.224,2.137,2.049,2.135,2.473
1393633.127,1.988,6.149,1.452,2.569,2.851,1.753
285630701.691,4.119,89.19,2.355,1.463,1.57,4.004
24073791.441,1.692,7.345,1.567,2.822,3.411,1.406
