y,x1,x2,x3,x4,x5,x6
6.850,1.873,1.001,1.676,1.127,1.182,1.000
9.165,1.961,1.088,1.725,1.126,1.011,1.286
11.295,1.878,1.466,1.672,1.543,1.260,1.370
10.345,1.902,1.173,1.784,1.421,1.159,1.233
9.256,1.990,1.025,1.718,1.320,1.295,1.371
10.697,1.849,1.321,1.776,1.384,1.257,1.422
9.110,1.669,1.534,1.714,1.617,1.263,1.116
8.941,1.841,1.532,1.704,1.205,1.263,1.167
8.830,1.906,1.611,1.713,1.433,1.383,1.103
10.821,1.690,1.574,1.704,1.811,1.350,1.307
11.098,1.564,1.803,1.762,1.921,1.563,1.425
10.363,2.118,1.208,1.745,1.271,0.661,1.322
11.001,1.951,1.000,1.734,1.062,1.326,1.436
9.107,1.694,1.610,1.700,1.813,1.023,1.099
10.480,1.898,1.507,1.752,0.049,1.338,1.245
10.752,1.658,1.508,1.699,1.947,1.580,1.319
10.608,1.650,1.531,1.757,1.826,1.436,1.462
10.389,1.739,1.440,1.724,1.751,1.576,1.492
9.793,1.576,1.826,1.673,1.713,1.180,1.129
10.831,1.955,1.324,1.703,1.816,1.090,1.497
12.074,1.876,1.705,1.766,1.738,1.339,1.528
9.001,1.896,1.151,1.639,1.550,1.278,1.192
10.505,1.828,1.357,1.638,1.719,1.161,1.393
9.076,1.761,1.706,1.652,1.693,1.034,1.207
9.309,1.492,1.753,1.643,1.921,1.802,1.134
10.836,1.784,1.467,1.693,1.788,1.293,1.365
10.675,1.850,1.305,1.720,1.669,1.514,1.418
10.031,1.866,1.505,1.647,1.784,1.082,1.292
10.010,1.777,1.346,1.725,1.892,1.267,1.365
9.486,1.945,1.475,1.666,1.474,1.315,1.458
9.553,1.716,1.678,1.721,1.716,1.432,1.158
9.857,1.830,1.256,1.640,1.601,1.536,1.395
9.265,1.910,1.071,1.671,1.070,1.418,1.398
12.503,1.744,1.817,1.641,1.564,1.250,1.383
10.691,1.890,1.425,1.707,1.223,1.813,1.470
10.956,1.865,1.631,1.644,1.164,1.394,1.354
10.225,1.780,1.584,1.715,1.713,1.199,1.391
10.675,1.768,1.674,1.676,2.113,1.458,1.340
10.857,1.612,2.249,1.611,1.950,1.412,1.329
9.782,1.699,1.526,1.668,2.023,1.180,1.353
10.655,1.700,1.907,1.675,1.835,1.759,1.289
10.279,1.941,1.292,1.650,1.245,1.245,1.388
9.930,1.839,1.392,1.671,1.473,1.288,1.338
9.241,1.743,1.904,1.583,1.477,1.591,1.209
9.200,1.658,1.681,1.640,2.050,1.174,1.289
11.314,1.660,1.679,1.636,2.089,1.629,1.523
11.367,1.806,1.493,1.762,1.905,1.895,1.495
9.479,1.559,2.002,1.730,1.766,1.617,1.325
11.130,1.829,1.416,1.697,1.352,1.599,1.495
10.633,1.750,2.090,1.709,1.369,1.386,1.211
9.794,1.887,1.561,1.659,1.425,1.178,1.367
10.116,1.676,1.554,1.629,1.916,1.550,1.430
11.491,1.748,1.927,1.652,1.408,1.707,1.412
10.737,1.857,1.740,1.677,2.024,1.735,1.352
