"y","x1","x2","x3","x4","x5","x6"
17.367,1.739,1.739,2.725,3.486,1.593,1.731
14.762,1.433,1.98,3.017,4.551,1.067,1.922
14.496,1.388,2.027,3.374,4.16,1.625,2.059
14.348,1.216,2.187,3.277,4.638,2.129,2.034
17.843,1.812,1.303,1.502,2.663,2.417,1.401
16.124,1.883,1.457,2.451,1.76,4.408,1.088
18.176,1.95,1.362,2.79,1.868,3.95,1.39
17.798,2.04,1.119,1.762,1.616,2.626,1.309
12.564,1.171,2.194,2.768,4.185,1.117,2.077
20.533,2.149,1.345,2.576,1.915,3.525,1.118
15.392,1.567,1.743,3.09,3.564,1.954,1.872
17.672,1.884,1.609,2.732,2.194,2.922,1.31
16.029,1.773,1.629,2.29,2.306,4.354,1.298
15.267,1.42,1.957,3.297,4.163,1,2.084
15.539,1.805,1.431,2.088,2.039,2.521,1.605
18.4,1.97,1.388,2.095,1.569,2.943,1.179
18.878,2.036,1.247,1.696,1.379,3.522,1.063
17.036,1.824,1.459,1.411,2.174,3.019,1.445
19.377,1.973,1.63,2.863,2.398,4.312,1.551
17.856,1.994,1.407,1.342,2.098,4.023,1.135
17.677,1.954,1.274,1.894,1.538,3.885,1.383
16.501,1.963,1.266,2.444,1.791,2.555,1.292
15.016,1.376,2.042,3.59,4.036,1.592,2.343
19.172,1.97,1.339,1.886,1.358,3.867,1.399
19.18,2.001,1.464,1.157,2.118,2.681,1.172
15.739,1.61,1.696,2.683,2.897,1.717,1.536
17.989,1.986,1.437,2.191,1.749,4.507,1.332
12.746,1.122,2.083,2.339,3.865,2.012,2.114
17.976,2.033,1.155,2.399,1.933,2.624,1.367
13.087,1.325,2.018,2.952,3.544,2.529,1.814
16.425,1.74,1.512,2.216,2.396,2.68,1.692
14.877,1.391,1.93,3.274,4.098,1.469,2.192
13.898,1.123,2.153,2.577,4.684,1.497,2.37
17.549,2.067,1.329,1.699,1.387,3.684,1.019
15.546,1.651,1.788,3.035,2.899,3.639,1.734
18,2.011,1,1.339,1.394,3.245,1.277
14.852,1.311,2.107,3.323,4.34,2.451,1.974
12.889,1.13,2.135,2.541,5.63,1.918,2.159
17.405,1.833,1.559,2.826,2.506,2.228,1.58
15.157,1.448,1.883,1.964,3.616,1.51,1.712
19.116,2.089,1.17,1.826,1.878,3.628,1.205
18.273,1.941,1.415,2.624,2.324,3.319,1.415
18.096,1.903,1.523,2.194,2.168,1.987,1.602
15.482,1.71,1.591,1.986,2.317,2.636,1.301
16.768,1.815,1.721,2.902,3.016,3.488,1.559
17.35,1.902,1.533,3.201,2.499,3.193,1.5
16.218,1.594,1.797,3.1,3.578,1.881,2.058
14.793,1.563,1.844,3.094,3.269,2.073,2.027
17.109,1.879,1.468,1.678,1.805,4.124,1.476
18.412,2.115,1.22,1.561,1.619,3.141,1.195
16.818,1.703,1.681,2.051,3.109,3.161,1.737
17.318,1.808,1.435,2.399,2.429,2.926,1.363
16.567,1.793,1.489,2.124,2.089,2.499,1.706
16.117,1.641,1.703,1.609,2.554,2.938,1.668
16.062,1.665,1.647,2.441,2.564,2.316,1.605
18.387,2.028,1.426,2.097,1.714,3.425,1.333
19.246,2.027,1.435,2.117,2.114,3.376,1.198
15.357,1.492,1.886,2.988,3.453,1.449,1.935
17.253,1.867,1.468,1.456,2.02,4.098,1.314
14.712,1.383,1.917,3.63,3.784,1.212,2.128
19.243,1.961,1.564,2.617,1.788,4.091,1.453
15.822,1.606,1.782,2.403,3.087,3.533,1.766
14.585,1.457,1.914,2.713,3.49,2.572,1.737
18,1.9,1.515,2.377,2.423,2.314,1.349
13.324,1.303,1.963,2.841,4.225,1.783,2.135
13.578,1.312,1.886,2.649,3.74,2.637,2.039
15.754,1.53,1.751,2.881,3.278,2.159,1.832
16.905,1.824,1.614,2.68,2.821,2.172,1.61
15.613,1.68,1.691,2.73,2.897,2.404,1.685
13.208,1.081,2.113,2.724,4.328,1.635,2.151
16.474,1.708,1.826,3.275,3.475,2.843,1.705
18.867,1.878,1.647,2.369,2.92,2.298,1.449
14.755,1.646,1.666,2.941,2.725,1.666,1.586
14.017,1.556,1.669,2.907,3.007,1.885,1.866
14.865,1.403,1.982,2.9,3.37,2.728,1.835
17.624,1.935,1.226,2.518,1.943,3.03,1.511
14.636,1.46,2,3.367,3.468,3.379,1.86
16.033,1.411,1.931,3.153,3.673,1.478,1.972
14.622,1.357,2.08,3.457,3.724,2.052,1.978
17.75,1.977,1.182,2.402,1.211,4.366,1.267
12.526,1.057,2.185,2.754,4.506,2.359,2.14
13.041,1.154,2.113,3.325,4.267,2.281,1.921
16.429,1.719,1.795,3.178,2.827,2.296,1.575
16.184,1.867,1.464,1.89,1.981,2.655,1.439
17.985,1.976,1.448,2.749,1.778,3.559,1.409
17.9,1.988,1.394,1.324,2.274,2.456,1.245
16.857,1.997,1.092,1.849,1.276,3.866,1.257
15.862,1.48,1.79,2.482,3.943,2.494,1.935
18.943,2.136,1.096,2.291,1.426,2.708,0.793
17.349,1.829,1.545,2.024,1.54,4.302,1.294
15.958,1.646,1.645,1.512,3.134,2.646,1.648
19.204,2.127,1.124,1.943,1.28,4.057,1.085
15.426,1.465,1.989,3.055,3.505,3.207,1.912
14.128,1.233,1.961,3.333,4.006,2.481,2.043
