y,x1,x2,x3,x4,x5,x6
5.041,1.676,1.000,0.285,1.182,1.001,1.127
9.165,1.725,0.605,0.260,1.011,1.088,1.126
11.295,1.672,0.533,0.284,1.260,1.466,1.543
10.345,1.784,0.658,0.276,1.159,1.173,1.421
9.256,1.718,0.532,0.253,1.295,1.025,1.320
10.697,1.776,0.495,0.292,1.257,1.321,1.384
9.110,1.714,0.803,0.359,1.263,1.534,1.617
8.941,1.704,0.734,0.295,1.263,1.532,1.205
8.830,1.713,0.822,0.275,1.383,1.611,1.433
10.821,1.704,0.586,0.350,1.350,1.574,1.811
11.098,1.762,0.492,0.409,1.563,1.803,1.921
10.363,1.745,0.572,0.209,0.754,1.208,1.271
11.001,1.734,0.485,0.263,1.326,1.000,1.062
9.107,1.700,0.828,0.349,1.023,1.610,1.813
10.480,1.752,0.645,0.278,1.338,1.507,0.544
10.752,1.699,0.575,0.364,1.580,1.508,1.947
10.608,1.757,0.468,0.367,1.436,1.531,1.826
10.389,1.724,0.449,0.331,1.576,1.440,1.751
9.793,1.673,0.785,0.403,1.180,1.826,1.713
10.831,1.703,0.446,0.262,1.090,1.324,1.816
12.074,1.766,0.428,0.284,1.339,1.705,1.738
9.001,1.639,0.703,0.278,1.278,1.151,1.550
10.505,1.638,0.515,0.299,1.161,1.357,1.719
9.076,1.652,0.687,0.322,1.034,1.706,1.693
9.309,1.643,0.777,0.449,1.802,1.753,1.921
10.836,1.693,0.537,0.314,1.293,1.467,1.788
10.675,1.720,0.497,0.292,1.514,1.305,1.669
10.031,1.647,0.599,0.287,1.082,1.505,1.784
10.010,1.725,0.537,0.317,1.267,1.346,1.892
11.261,1.666,0.471,0.264,1.315,1.475,1.474
9.553,1.721,0.746,0.339,1.432,1.678,1.716
9.857,1.640,0.514,0.298,1.536,1.256,1.601
9.265,1.671,0.512,0.274,1.418,1.071,1.070
11.321,1.641,0.523,0.329,1.250,1.817,1.564
10.691,1.707,0.463,0.280,1.813,1.425,1.223
10.956,1.644,0.546,0.288,1.394,1.631,1.164
10.225,1.715,0.517,0.316,1.199,1.584,1.713
10.675,1.676,0.557,0.320,1.458,1.674,2.113
10.857,1.611,0.566,0.385,1.412,2.249,1.950
9.782,1.668,0.546,0.347,1.180,1.526,2.023
10.655,1.675,0.602,0.346,1.759,1.907,1.835
10.279,1.650,0.519,0.265,1.245,1.292,1.245
9.930,1.671,0.558,0.296,1.288,1.392,1.473
9.241,1.583,0.684,0.329,1.591,1.904,1.477
9.200,1.640,0.602,0.364,1.174,1.681,2.050
11.314,1.636,0.431,0.363,1.629,1.679,2.089
11.367,1.762,0.448,0.307,1.895,1.493,1.905
9.479,1.730,0.570,0.411,1.617,2.002,1.766
11.130,1.697,0.447,0.299,1.599,1.416,1.352
10.633,1.709,0.682,0.327,1.386,2.090,1.369
9.794,1.659,0.535,0.281,1.178,1.561,1.425
10.116,1.629,0.489,0.356,1.550,1.554,1.916
11.491,1.652,0.502,0.327,1.707,1.927,1.408
10.737,1.677,0.547,0.290,1.735,1.740,2.024
10.584,1.569,0.574,0.304,1.322,1.999,2.040
10.073,1.603,0.521,0.271,1.108,1.721,1.793
11.458,1.613,0.460,0.375,1.831,2.018,2.170
11.315,1.678,0.424,0.284,1.383,1.668,1.543
10.273,1.565,0.577,0.456,1.828,1.998,2.358
11.763,1.666,0.483,0.295,1.459,1.961,1.529
12.383,1.652,0.386,0.356,1.444,1.879,1.664
10.358,1.617,0.538,0.382,2.151,2.128,1.930
11.050,1.644,0.405,0.375,1.786,1.615,2.327
11.872,1.689,0.383,0.331,1.672,1.692,1.469
12.375,1.732,0.391,0.338,1.232,2.180,1.896
11.328,1.613,0.561,0.313,1.050,2.034,2.261
7.359,1.603,0.657,0.379,1.684,2.058,2.075
10.782,1.675,0.457,0.285,1.293,1.790,1.883
10.962,1.618,0.478,0.335,1.194,1.894,1.923
12.048,1.598,0.503,0.339,1.498,1.788,2.117
11.057,1.676,0.482,0.410,1.687,1.638,1.977
10.435,1.619,0.456,0.415,1.556,2.066,1.885
12.402,1.581,0.428,0.351,1.660,1.782,2.117
11.168,1.589,0.411,0.377,1.522,1.993,2.150
10.788,1.559,0.385,0.320,1.476,1.586,2.443
11.456,1.519,0.525,0.355,1.679,2.051,1.899
12.117,1.672,0.369,0.330,1.431,2.077,2.019
11.209,1.572,0.373,0.363,1.702,2.064,1.995
11.872,1.547,0.444,0.349,1.322,2.038,2.344
12.503,1.558,0.462,0.298,1.019,1.981,1.977
10.472,1.572,0.499,0.305,1.407,2.212,1.966
11.145,1.555,0.449,0.380,1.264,1.972,2.525
11.496,1.624,0.423,0.339,1.433,1.961,2.112
12.036,1.612,0.440,0.339,1.457,2.107,1.956
12.763,1.593,0.399,0.438,1.531,2.302,2.546
13.269,1.555,0.370,0.319,1.424,1.851,1.963
11.805,1.652,0.454,0.349,1.985,2.115,2.337
11.767,1.640,0.437,0.314,1.215,1.708,1.945
12.025,1.570,0.415,0.418,2.061,2.228,2.070
12.949,1.601,0.366,0.367,1.774,1.790,2.159
11.673,1.600,0.390,0.373,1.681,1.878,2.000
11.985,1.511,0.412,0.288,1.406,1.593,2.177
13.378,1.588,0.370,0.321,1.519,2.049,2.392
11.085,1.620,0.546,0.540,2.149,2.510,2.352
12.908,1.505,0.353,0.340,1.690,1.718,2.559
12.763,1.561,0.349,0.274,1.626,1.921,1.955
11.813,1.577,0.426,0.378,1.861,2.101,2.490
11.569,1.632,0.426,0.325,1.358,2.047,1.624
11.735,1.548,0.543,0.362,1.653,2.285,2.002
12.199,1.474,0.431,0.356,1.652,1.753,2.486
13.674,1.516,0.424,0.375,1.559,2.466,2.473
13.396,1.454,0.408,0.397,1.456,2.393,2.436
13.337,1.626,0.444,0.378,1.855,2.311,2.181
11.636,1.551,0.441,0.388,1.540,2.119,2.493
11.662,1.519,0.482,0.348,1.759,2.276,2.226
13.814,1.584,0.343,0.331,1.707,2.203,2.038
11.535,1.586,0.422,0.344,1.306,2.026,2.329
13.106,1.547,0.395,0.453,1.715,2.510,2.554
13.039,1.569,0.432,0.354,1.781,2.418,2.086
11.803,1.583,0.433,0.460,1.560,2.442,2.326
12.530,1.567,0.438,0.367,1.992,2.513,2.674
12.325,1.555,0.397,0.370,1.679,2.356,2.653
13.478,1.442,0.362,0.424,2.014,2.374,2.809
12.464,1.498,0.423,0.310,2.198,2.333,2.046
11.705,1.597,0.445,0.345,1.690,2.168,2.053
12.876,1.535,0.376,0.345,1.769,2.729,2.559
12.817,1.563,0.421,0.374,1.823,2.330,2.199
12.459,1.602,0.411,0.447,1.926,2.536,2.330
12.751,1.480,0.400,0.323,1.315,2.234,2.584
