"y","x1","x2","x3","x4","x5","x6"
13.897,4.054,1,1.137,1,2.03,3.649
16.949,2.924,1.546,1.523,2.449,2.149,2.488
18.529,1.947,1.784,1.923,3.717,4.521,1.516
15.374,3.77,1.19,1.117,1.951,2.854,3.344
20.096,1.503,1.999,1.937,3.865,3.554,2.102
16.499,2.79,1.608,1.62,2.883,2.224,2.066
15.735,4.313,1.231,1.195,1.476,2.85,3.903
17.964,1.65,1.882,1.798,3.66,4.65,2.947
17.762,2.664,1.739,1.774,3.421,2.729,1.847
18.197,2.293,1.778,1.795,3.567,3.808,2.761
17.697,2.076,1.805,1.724,3.697,4.21,2.366
18.513,2.905,1.621,1.471,2.628,2.711,3.028
17.775,1.523,1.898,1.987,3.819,4.65,1.954
18.694,2.906,1.743,1.723,3.716,2.978,2.106
18.855,1.881,1.902,1.857,3.483,4.289,2.143
19.458,2.792,1.828,1.731,3.661,3.95,2.763
16.235,1.887,1.676,1.628,3.148,3.011,3.013
19.118,2.488,1.788,1.739,3.354,3.12,2.667
18.428,1.813,1.866,1.578,3.702,2.681,2.465
15.689,3.823,1.305,1.326,2.189,1.778,2.512
16.436,3.777,1.325,1.201,1.915,2.943,3.36
15.898,2.484,1.635,1.611,2.861,3.103,2.743
16.793,4.112,1.315,1.307,1.677,3.073,3.918
15.904,4.178,1.174,1.237,1.769,2.68,2.875
18.548,4.175,1.411,1.084,2.076,3.11,3.966
16.476,2.51,1.599,1.375,2.386,2.703,3.14
19.243,2.574,1.883,1.74,3.77,3.086,2.518
18.094,3.745,1.559,1.432,2.494,1.506,2.395
18.144,4.228,1.457,1.354,2.382,2.833,2.929
17.109,3.81,1.496,1.408,2.512,3.588,3.048
19.19,1.749,1.946,1.766,3.578,3.319,1.892
17.139,3.935,1.522,1.58,2.831,2.702,2.649
18.641,3.013,1.798,1.694,3.627,3.355,2.103
12.325,4.03,1.127,1.338,1.667,2.619,3.093
17.893,1.487,1.931,1.757,4.438,3.423,2.588
18.724,1.856,1.815,1.738,3.485,3.176,2.053
20.213,2.066,1.954,1.964,4.055,4.358,2.383
19.856,1.33,1.934,1.857,4.345,2.964,1.74
17.113,1.735,1.824,1.758,3.671,2.445,1.35
16.284,4.22,1.28,1.307,1.773,2.544,3.362
17.61,2.884,1.623,1.641,3.158,3.12,2.538
18.333,2.117,1.798,1.812,4.049,2.865,1.331
14.844,3.646,1.217,1.27,1.672,1.956,2.4
17.235,3.757,1.286,1.241,1.575,1.389,2.613
15.659,4.72,1.064,1.183,1.523,2.588,3.468
18.404,1.703,1.884,1.715,3.835,2.878,2.081
19.355,2.958,1.769,1.822,3.635,4.205,2.712
