"Strategy","DrugA","DrugB","Control"
"S1",6.81,7.35,4.08
"S1",5.64,9.19,4.36
"S1",9.19,9.33,3.4
"S1",9.59,4.95,4.56
"S1",7.68,9.33,1.98
"S1",5.07,8.11,5
"S1",7.67,8.94,5.72
"S1",6.98,8.02,2.79
"S1",6.72,7.83,5.43
"S1",8.92,8.06,2.45
"S1",6.85,9.08,1.17
"S1",8.02,6.33,0.42
"S1",7.46,10.77,1.89
"S1",7.31,8.3,3.38
"S2",1.85,6.02,2.13
"S2",4.49,5.89,3.89
"S2",2.24,4.47,5.77
"S2",4.02,6.45,5.64
"S2",1.34,5.29,4.48
"S2",9.13,5.6,0.77
"S2",1.03,8.91,5.51
"S2",8.17,4.67,2.56
"S2",7.27,6.9,4.55
"S2",6.53,4.17,4.57
"S2",9.59,7.02,5.49
"S2",6.66,5.94,3.13
"S2",7.14,7.71,4.55
"S2",10.31,6.29,0.55
