"Strategy","DrugA","DrugB","Control"
"S1",5.9,5.35,1.45
"S1",3.35,4.07,-0.18
"S1",5,4.4,2.39
"S1",2.68,2.8,2.07
"S1",2.85,4.06,2.54
"S1",6.75,2.62,-1.11
"S1",4.9,-0.92,1.39
"S1",1.81,2.84,1.39
"S1",3.22,-1.4,4.07
"S1",4.38,-0.23,1.58
"S1",4.51,-0.67,1.35
"S1",2.59,2.8,1.35
"S1",7.65,4.37,1.75
"S1",2.13,4.04,1.72
"S2",4.09,5.33,1.94
"S2",4.92,8.96,1.26
"S2",5.5,5.6,3.59
"S2",2.27,7.44,1.34
"S2",3.79,8,3.61
"S2",4.53,6.59,-2.78
"S2",3.89,7.97,1.97
"S2",7.14,6.77,2.68
"S2",5.15,6.21,0.69
"S2",4.95,9.24,4.02
"S2",2.41,7.27,3.38
"S2",4.54,9.78,3.41
"S2",4.44,10.64,2.34
"S2",6.07,6.99,3.66
