"Strategy","DrugA","DrugB","Control"
"S1",11.13,12.56,3.81
"S1",10.83,5.24,4.07
"S1",10.13,2.64,3.05
"S1",10.61,7.63,3.74
"S1",9.95,10.02,3.33
"S1",9.96,10.78,4.26
"S1",8.87,10.06,3.02
"S1",10.59,10.69,6.96
"S1",8.43,8.5,3.6
"S1",10.56,5.98,5.02
"S1",9.59,9,4.54
"S1",10.4,10.87,2.59
"S1",12.02,9.59,3.3
"S1",8.76,7.94,3.74
"S1",10.81,8.99,5.17
"S2",9.75,4.84,4.41
"S2",5.61,6.24,2.75
"S2",6.73,4.22,2.56
"S2",8.73,4.32,5.05
"S2",5.02,4,4.52
"S2",8.13,1.51,2.11
"S2",7.8,2.68,4.22
"S2",9.79,4.48,3.25
"S2",5.29,6.24,3.18
"S2",10.36,6.89,5.25
"S2",6.29,5.66,3.15
"S2",1.4,5.52,5.41
"S2",5.08,4.69,5.4
"S2",8.46,4.19,7.81
"S2",8.65,3.5,4.64
