"Protein","Chicken","Pork","Wheat","Soybean"
"Low",11.11,3.29,9.47,11.66
"Low",9.24,6.87,10.54,10.53
"Low",6,5.13,9.05,10.67
"Low",9.4,3.63,9.03,10.09
"Low",8.3,3.61,8.84,10.56
"Low",7.64,9.16,6.71,9.95
"Low",10.06,9.15,6,9.61
"Low",10.21,3.61,8.08,10.04
"Low",9.18,6.65,6.76,11.09
"Low",10.5,7.77,10.5,8.76
"Low",12.73,6.23,9.28,10.99
"Low",10.39,5.38,7.36,7.72
"High",9.01,4.06,6.03,6.02
"High",8.69,5.85,7.12,7.43
"High",6.38,3.74,2.09,11.9
"High",8.19,3.78,6.62,6.83
"High",3.46,1.48,6.99,7.42
"High",4.5,-0.32,7.12,16.39
"High",8.28,4.31,4.87,6.53
"High",8.53,3.45,8.01,9.02
"High",6.17,4.06,7.65,8.24
"High",4.76,4.74,5.42,5.47
"High",8.28,6.09,4.11,9.7
"High",7.82,4.45,8.88,11.5
