"Strategy","DrugA","DrugB","Control"
"S1",6.25,5.32,3.89
"S1",7.37,8.2,7.75
"S1",5.15,4.68,5.4
"S1",3.31,7.5,2.17
"S1",4.34,6.4,3.29
"S1",3.56,8.24,4.58
"S1",6.6,6.22,4.48
"S1",6.12,6.83,5.97
"S1",6.67,7.56,4.53
"S1",5.8,5.4,4.26
"S1",4.34,6.97,3.08
"S1",7.14,5.74,6.13
"S1",5.02,7.04,2.9
"S1",5.98,6.35,3.47
"S1",6.7,3.72,6.73
"S2",8.77,7.03,4.95
"S2",8.52,7.17,2.38
"S2",7.19,6.96,4.88
"S2",7.27,7.67,2.48
"S2",8.46,8.74,6.09
"S2",9.12,4.07,4.88
"S2",11.33,7.19,6.4
"S2",10.45,7.98,9.19
"S2",4.77,6.57,7.03
"S2",9.33,6.93,6.75
"S2",11.61,6.3,5.63
"S2",9.11,8.11,1.34
"S2",5.7,6.31,6.55
"S2",9.04,7.13,4.82
"S2",9.39,5.73,5.07
