"Strategy","DrugA","DrugB","Control"
"S1",2.56,2.12,2.52
"S1",5.04,5.66,1.13
"S1",5.07,4.59,1.77
"S1",5.21,2.38,1.73
"S1",6.59,3.13,2.35
"S1",2.65,6.58,2.17
"S1",2.41,5.43,1.49
"S1",6.84,6.18,2.05
"S1",3.57,3.34,1.06
"S1",2.44,3.12,2.06
"S1",5.46,5.73,2.19
"S1",7.25,3.29,3.14
"S1",3.9,4.11,4.51
"S1",6.1,4.06,-0.48
"S1",6.33,0.25,0.21
"S2",6.02,6.12,2.13
"S2",5.89,3.43,-0.45
"S2",7.76,5.21,0.84
"S2",7.77,3.8,1.42
"S2",6.09,1.82,1.99
"S2",8.92,5.14,2.88
"S2",8.84,5.31,2.46
"S2",8.12,4.52,-0.55
"S2",6.51,3.05,2
"S2",9.53,2.99,1.24
"S2",10.4,3.29,1.39
"S2",7.67,3.39,2.89
"S2",5.6,2.74,0.33
"S2",10.44,3.79,3.3
"S2",7.8,2.72,2.76
