"Strategy","DrugA","DrugB","Control"
"S1",7.12,11.56,2.36
"S1",6.75,6.87,7.34
"S1",6.9,7.2,1.95
"S1",8.76,9.33,4.31
"S1",8.64,10.11,3.84
"S1",9.36,8.21,4.58
"S1",5.81,8.89,2.91
"S1",8.05,8.61,4.03
"S1",8.31,10.59,4.44
"S1",7.79,12.73,3.87
"S1",8.84,8.18,5.2
"S1",6.55,8.35,5.06
"S1",5.94,9.93,4.78
"S1",4.14,9.08,2.42
"S1",8.3,6.97,4.16
"S2",8.23,5.61,3.35
"S2",4.65,8.5,6.33
"S2",6.68,6.07,5.15
"S2",9.46,4.69,4.64
"S2",8,6.02,3.18
"S2",4.77,8.91,3.2
"S2",6.75,6.25,2.96
"S2",6.38,7.09,6.07
"S2",6.46,8.07,4.53
"S2",9.01,8.54,2.68
"S2",6.29,5.13,1.02
"S2",8.83,7.59,4.49
"S2",7.38,5.42,0.8
"S2",7.28,8.33,3.29
"S2",6.19,7.78,4.45
