"Strategy","DrugA","DrugB","Control"
"S1",10.24,10.62,4.15
"S1",7.46,2.26,4.7
"S1",8.06,6.64,6.43
"S1",8.93,10.51,6.37
"S1",9.63,2.92,4.37
"S1",7,9.75,4.39
"S1",8.25,9.63,6.75
"S1",9.66,9.66,5.59
"S1",7.35,4.44,2.51
"S1",6.95,7.7,6.61
"S1",6.95,6.38,5.33
"S1",10.78,7.57,6.63
"S2",10.54,8.26,4.89
"S2",9.5,9.48,5.87
"S2",10.61,10.67,3.26
"S2",7.86,9.45,4.29
"S2",11.57,8.64,7
"S2",7.87,8.52,2.34
"S2",10.25,11.55,6.4
"S2",10.14,10.75,1.95
"S2",11.59,7.95,3.09
"S2",7.47,9.76,4.58
"S2",10.17,9.53,6.81
"S2",10.75,8.21,4.89
