"Protein","Chicken","Pork","Wheat","Soybean"
"Low",9.42,12.5,10.72,6.24
"Low",8.42,10.52,8.42,4.52
"Low",8.8,9.12,7.52,7.8
"Low",9.49,10.65,10.8,6.54
"Low",9.07,11.76,10.24,6.89
"Low",6.41,12.57,9.28,8.92
"Low",6.73,9.35,10.61,7.02
"Low",9.3,12.98,10.21,5.17
"Low",11.63,9.68,8.12,5.48
"Low",8.27,12.67,9.29,5.36
"Low",10.8,11.83,10.04,6.19
"High",15.77,13.51,13.66,9.15
"High",13.33,14.52,14.44,6.7
"High",14.2,12.06,13.34,11.54
"High",12.87,10.78,10.42,7.94
"High",15.04,8.76,15.93,9.78
"High",14.38,9.35,14.2,7.98
"High",11.33,14.27,15.57,5.78
"High",15.41,9.9,11.3,10.57
"High",14.6,8.26,11.05,7.37
"High",16.2,12.88,14.22,8.82
"High",14.11,13.14,12.71,7.37
