"Strategy","DrugA","DrugB","Control"
"S1",7.95,11.89,0.97
"S1",9.01,7.69,3.61
"S1",7.16,4.26,5.18
"S1",5.29,5.66,0.83
"S1",8.03,7.24,4.27
"S1",9.11,9.68,3.55
"S1",7.67,8.19,2.54
"S1",7.65,7.18,3.36
"S1",8.6,4.42,1.47
"S1",10.77,5.16,3.66
"S1",8.88,6.96,3.47
"S1",8.64,9.26,3.47
"S1",8.61,7.35,2.99
"S1",8.69,7.66,3.71
"S1",8.68,7.24,4.63
"S2",8.45,8.64,5.37
"S2",7.02,7.63,5.03
"S2",7.1,9.11,5.53
"S2",7.14,13.67,3.58
"S2",8.69,8.11,5.61
"S2",9.74,7.59,4.07
"S2",4.69,8.49,4.12
"S2",2.66,10.1,0.01
"S2",3.89,7.67,5.32
"S2",6.72,10.27,4.63
"S2",7.87,8.24,5.51
"S2",7.32,6.54,2.55
"S2",8.31,8.95,2.29
"S2",5.29,9.54,5.18
"S2",6.73,8.2,2.59
