"Strategy","DrugA","DrugB","Control"
"S1",4.6,5.39,1.14
"S1",7.75,9.06,1.22
"S1",5.71,4.23,3.66
"S1",6.39,5.19,3.33
"S1",6.99,6.22,3.42
"S1",8.66,7.25,5.68
"S1",8.2,9.83,6.49
"S1",7.37,4.69,2.05
"S1",9.81,7.34,3.16
"S1",5.12,9.6,4.83
"S1",8.01,6.51,5.16
"S1",7.14,6.43,3.42
"S1",8.78,6.98,8.28
"S1",6,6.41,4.9
"S1",7.35,6.75,0.44
"S2",9.39,6.68,2.37
"S2",9.43,6.44,5.58
"S2",8.03,4.75,5.25
"S2",8,4.11,2.76
"S2",8.37,5.38,4.11
"S2",12.15,4.41,6.24
"S2",8.37,5.09,4.8
"S2",9.93,4.72,3.95
"S2",9.05,2.68,5.85
"S2",10.79,3.97,3.92
"S2",9.84,4.18,4.68
"S2",10.3,5.12,6.3
"S2",7.77,3.79,1.94
"S2",12.28,3.93,3.84
"S2",10.68,7.84,3.69
