"Strategy","DrugA","DrugB","Control"
"S1",5.83,8.14,6.7
"S1",9.04,5.29,5.15
"S1",11.19,6.83,1.53
"S1",8.22,8.28,0.7
"S1",6.48,7.31,4.19
"S1",7.12,6.04,2.3
"S1",10.88,5.68,4.26
"S1",8.71,8.07,4.18
"S1",9.84,8.3,3.19
"S1",10.8,9.47,3.68
"S1",7.43,7.63,4.66
"S1",9.55,6.57,3.84
"S1",11.91,6.61,0.72
"S2",10.32,3.91,3.83
"S2",3.53,7.22,4.26
"S2",8.64,5.78,4.94
"S2",5.47,7.09,3.44
"S2",4.48,5.54,3.57
"S2",4.96,4.93,3.89
"S2",7.35,5.78,7.85
"S2",10.59,4.2,5.39
"S2",5.44,3.8,4.18
"S2",8.83,5.69,3.51
"S2",5.56,5.98,3.06
"S2",8.42,4.94,5.42
"S2",7.46,7.56,2.87
