"Strategy","DrugA","DrugB","Control"
"S1",11.8,6.09,1.87
"S1",9.55,7.78,1.74
"S1",9.5,5.63,3.02
"S1",7.81,4.44,3.7
"S1",8.9,4.19,2.89
"S1",9.75,4.66,5.03
"S1",9.34,4.42,2.66
"S1",11.24,4.92,4.58
"S1",8.91,6.06,4.46
"S1",7.23,4.7,4.99
"S1",11.57,6.31,2.5
"S1",9.11,5.7,4.91
"S1",10.61,6.25,4.07
"S1",10.05,4.93,4.35
"S1",6.62,4.09,1.63
"S2",12.49,5.78,0.26
"S2",11.79,3.71,6.12
"S2",9.36,4.9,5.37
"S2",10.04,6.13,3.37
"S2",10.88,3.57,2.78
"S2",8.76,7.1,4.5
"S2",5.86,8.15,4.3
"S2",8.41,6.21,1.72
"S2",8.81,7.8,4.92
"S2",12.01,8.41,6.22
"S2",13.56,5.14,4.32
"S2",9.93,10.11,3.08
"S2",11.34,5.23,4.13
"S2",10.39,6.81,3.41
"S2",11.07,5.89,-0.01
