,y,x
1,5.310,73.13
2,4.851,46.25
3,5.657,80.82
4,5.145,68.07
5,5.519,75.09
6,5.543,86.90
7,6.203,123.78
8,5.874,95.04
9,4.726,37.54
10,4.372,36.27
11,5.048,55.59
12,5.877,97.22
13,5.964,110.59
14,4.285,29.36
15,6.156,120.60
16,5.881,100.06
17,5.822,92.11
18,6.276,123.84
19,6.295,126.52
20,4.291,30.98
21,4.841,46.69
22,3.995,15.94
23,4.841,51.27
24,4.218,20.43
25,4.002,21.23
26,4.338,27.67
27,3.867,13.99
28,5.637,89.93
29,6.330,118.39
30,5.904,106.16
31,5.912,103.92
32,6.213,124.00
33,4.765,40.93
34,4.506,37.74
35,6.136,120.36
36,6.397,129.62
37,4.700,47.16
38,4.385,36.79
39,6.006,119.26
40,5.331,70.54
41,4.772,53.63
42,5.518,82.55
43,6.316,126.59
44,4.165,35.69
45,5.750,116.22
46,5.931,101.44
47,4.674,43.80
48,5.908,101.98
49,4.697,38.48
50,6.028,114.57
51,5.359,74.61
52,4.668,45.47
53,5.237,72.31
54,3.851,11.53
55,5.317,65.76
56,4.550,37.11
57,6.300,129.40
58,5.138,61.10
59,6.408,126.26
60,3.286,-5.96
61,4.134,21.37
62,4.971,62.68
63,6.672,145.94
64,5.688,101.27
65,5.072,58.82
66,5.903,104.51
67,5.702,92.37
68,5.473,81.65
69,6.633,146.32
70,4.774,49.77
71,6.172,118.52
72,6.015,111.79
73,5.312,75.23
74,4.050,-8.55
75,6.101,106.80
76,5.168,64.10
77,5.045,61.42
78,6.032,116.78
79,6.265,128.15
80,5.608,84.29
81,5.025,61.06
82,4.794,54.16
83,4.842,57.25
84,5.740,89.10
85,6.407,128.31
86,4.784,50.21
87,4.728,44.74
88,5.901,106.87
89,4.780,53.86
90,4.342,25.80
91,4.812,51.95
92,5.724,98.55
93,6.128,107.79
94,5.999,100.78
95,6.015,114.06
96,4.966,62.14
97,5.860,98.91
98,4.812,61.04
99,5.097,62.95
100,5.379,78.86
101,5.106,55.68
102,4.947,47.79
103,6.039,109.43
104,3.988,21.51
105,6.246,118.28
106,6.507,146.80
107,5.920,101.55
108,4.661,44.97
109,4.922,58.71
110,4.532,44.61
111,5.762,99.54
112,6.054,119.08
113,5.890,105.36
114,5.391,80.91
115,6.201,125.62
116,5.387,84.45
117,5.792,101.87
118,4.623,40.86
119,5.719,95.21
120,3.877,12.23
121,6.081,114.47
122,6.320,120.77
123,4.018,12.40
124,6.290,122.80
125,6.070,113.77
126,4.240,23.84
127,5.359,71.34
128,5.262,67.58
129,5.368,75.74
130,5.597,84.56
131,6.681,151.80
132,5.381,77.03
133,5.612,93.05
134,6.255,117.30
135,5.631,89.18
136,4.831,51.22
137,3.971,12.64
138,3.869,11.47
139,5.669,91.50
140,4.458,33.80
141,5.415,77.84
142,5.832,97.47
143,5.800,97.05
144,4.562,36.19
145,5.905,106.23
146,4.130,21.53
147,4.649,39.69
148,5.085,60.52
149,4.856,55.15
150,6.314,122.65
151,4.990,55.70
152,5.996,106.33
153,5.515,79.83
154,5.060,68.82
155,4.568,35.61
156,6.137,109.91
157,5.125,55.13
158,5.998,105.73
159,5.465,76.59
160,5.203,63.76
161,5.358,74.78
162,4.669,43.16
163,5.918,105.50
164,6.138,129.34
165,6.230,125.10
166,4.134,18.56
167,4.637,44.65
168,4.846,53.66
169,4.112,26.15
170,5.474,78.27
171,6.051,105.84
172,5.407,77.17
