"","x","y"
"1",12.92,10.79
"2",44.76,15.26
"3",12.39,12.01
"4",17.1,12.31
"5",39.98,15.77
"6",21.02,13.98
"7",49.33,16
"8",22.52,13.04
"9",15.67,12.41
"10",58.41,14.74
"11",49.55,16.3
"12",23.31,12.93
"13",20.86,12.38
"14",11.52,10.51
"15",56.45,16.58
"16",24.24,13.29
"17",32.71,14.2
"18",47.81,15.31
"19",69.36,16.46
"20",27.96,13.38
"21",28.17,14.22
"22",19.72,12.12
"23",40.37,14.65
"24",40.54,13.5
"25",56.56,16.39
"26",38.45,15.49
"27",40.62,14.76
"28",24.09,13.28
"29",31.84,14.01
"30",32.57,14.15
"31",58.95,16.2
"32",56.06,15.87
"33",40.69,14.84
"34",47.58,15.69
"35",27.85,14.23
"36",31.48,14.58
"37",58.17,16.7
"38",47.64,16
"39",27.27,13.44
"40",67.22,17.21
"41",29.62,14.27
"42",31.99,14.76
"43",48.94,14.78
"44",39.5,15.92
"45",17.22,12.6
"46",20.37,12.79
"47",19.95,13.21
"48",50.34,16.08
"49",18.01,12.93
"50",25.39,13.49
"51",19.1,12.97
"52",14.58,12.41
"53",51,16.17
"54",15.82,12.42
"55",67.48,17.06
"56",29.18,14.36
"57",46.48,16.47
"58",46.73,16.14
"59",25.13,13.19
"60",29.04,14.67
"61",24.67,14.32
"62",17.33,13.36
"63",17.23,12.35
"64",50.88,16.35
"65",25.84,14.28
"66",42.25,14.71
"67",58.23,17.18
"68",31.45,14
"69",53.03,16
"70",21.79,13.29
"71",47.99,15.84
"72",48.57,14.87
"73",46.47,15.68
"74",22.29,13.7
"75",50.86,16.64
"76",39.71,15.41
"77",36.52,15.63
"78",58.66,16.79
"79",46.5,15.91
"80",56.38,16.62
"81",59.62,16.47
"82",59.75,16.25
"83",67.75,16.49
"84",24.73,14.04
"85",20.05,14.75
"86",16.35,12.31
"87",40.7,14.99
"88",28.4,14.38
"89",64.62,15.87
"90",52.37,16.64
"91",41.94,15.79
