"","x","y"
"1",118.62,3.29
"2",76.99,2.96
"3",62.74,2.86
"4",122.83,3.28
"5",75.91,3
"6",-8.82,2.19
"7",48.77,2.85
"8",118.65,3.29
"9",94.79,3.16
"10",91.9,3.1
"11",101.59,3.12
"12",11.19,2.45
"13",142.68,3.4
"14",40.12,2.75
"15",93.1,3.14
"16",115.49,3.28
"17",33.26,2.47
"18",18.44,2.5
"19",74.81,2.97
"20",16.73,2.52
"21",89.63,3.15
"22",38.2,2.68
"23",60.26,2.88
"24",122.35,3.31
"25",96.43,3.19
"26",109.64,3.21
"27",82.03,3.07
"28",109.54,3.21
"29",118.73,3.26
"30",101.24,3.22
"31",64.83,2.93
"32",14.43,2.49
"33",109.92,3.24
"34",123.1,3.27
"35",11.15,2.4
"36",118.18,3.29
"37",38.4,2.74
"38",113.22,3.26
"39",120.01,3.29
"40",45.92,2.82
"41",22.12,2.6
"42",23.57,2.57
"43",56.56,2.81
"44",72.57,2.97
"45",90.63,3.08
"46",87.26,3.14
"47",20.38,2.5
"48",59.94,2.89
"49",16.6,2.43
"50",38.24,2.7
"51",42.96,2.7
"52",68.83,2.93
"53",28.09,2.62
"54",54.38,2.83
"55",45.22,2.87
"56",12.88,2.41
"57",80.74,3.04
"58",106.08,3.21
"59",60.12,2.85
"60",125.1,3.31
"61",31.39,2.72
"62",10.79,2.43
"63",68.85,2.97
"64",12.75,2.46
"65",30.75,2.6
"66",57.85,2.86
"67",27.9,2.65
"68",86.01,3.05
"69",66.45,2.92
"70",83.03,3.07
"71",97.66,3.16
"72",111.29,3.26
"73",74.7,3.02
"74",116.64,3.24
"75",14.61,2.5
"76",112.19,3.2
"77",81.7,3.06
"78",14.98,2.42
"79",111.26,3.23
"80",111.99,3.21
"81",71.1,2.95
"82",101.19,3.2
"83",21.61,2.57
"84",32.39,2.82
"85",112.69,3.25
"86",24.04,2.58
"87",61.31,2.88
"88",44.02,2.82
"89",117.36,3.3
"90",61.98,2.86
"91",53.56,2.85
"92",37.06,2.7
"93",100.55,3.15
"94",84.55,3.03
"95",141.42,3.42
"96",113.92,3.24
"97",72.27,2.95
"98",89.08,3.12
"99",17.7,2.56
"100",88.35,3.15
"101",46.75,2.8
"102",49.41,2.82
"103",31.16,2.69
"104",109.77,3.22
"105",90.44,3.09
"106",151.66,3.44
"107",101.43,3.19
"108",42.76,2.77
"109",73.58,3.01
"110",125.94,3.31
"111",114.54,3.28
"112",24.19,2.56
"113",62.11,2.95
"114",56.01,2.89
"115",17.54,2.5
"116",91.55,3.12
"117",116.9,3.29
"118",97.62,3.19
"119",57.09,2.8
"120",37.61,2.69
"121",75.14,2.98
"122",23.17,2.53
"123",27.67,2.57
"124",68.87,3.07
"125",32.41,2.71
"126",33.45,2.69
"127",61.88,2.87
"128",50.63,2.78
"129",150.04,3.45
"130",126.79,3.37
"131",43.99,2.79
"132",73.92,2.97
"133",65.08,2.91
"134",127.24,3.33
"135",90.6,3.09
"136",107.71,3.21
"137",95.54,3.17
"138",98.67,3.14
"139",92.8,3.12
"140",73.51,2.97
"141",48.8,2.78
"142",52.47,2.81
"143",47,2.75
"144",113.39,3.26
"145",91.09,3.12
"146",14.92,2.44
"147",23.55,2.51
"148",35.71,2.71
"149",83.98,3.06
"150",101,3.18
"151",82.57,3.04
"152",57.21,2.89
"153",113.36,3.23
"154",38.57,2.7
"155",89.86,3.1
"156",106.86,3.22
"157",34.65,2.68
"158",94.18,3.13
"159",17.44,2.47
"160",109.56,3.23
"161",41.65,2.8
"162",27.88,2.6
"163",143.35,3.42
"164",87.09,3.07
"165",60.95,2.89
