,y,x
1,28.14,43.17
2,25.63,31.24
3,29.26,46.13
4,22.39,26.59
5,27.92,41.83
6,21.30,15.39
7,29.48,44.94
8,26.49,39.21
9,19.42,10.82
10,28.34,47.75
11,23.70,22.10
12,28.28,40.22
13,27.45,36.66
14,23.76,22.07
15,22.20,17.69
16,29.39,55.19
17,27.46,42.72
18,28.84,52.27
19,27.70,43.14
20,24.54,25.20
21,27.65,42.37
22,28.78,51.77
23,28.94,43.28
24,29.88,59.61
25,29.00,50.70
26,23.49,20.34
27,30.94,66.09
28,20.76,17.81
29,26.07,31.30
30,20.53,14.59
31,29.91,56.37
32,20.59,16.72
33,21.08,14.69
34,29.85,58.47
35,31.02,60.00
36,31.02,66.14
37,26.11,31.26
38,26.22,34.72
39,27.00,36.57
40,21.42,15.30
41,22.63,21.27
42,29.02,47.70
43,30.72,58.50
44,28.31,35.22
45,27.53,37.56
46,22.55,20.58
47,27.77,39.79
48,29.81,50.78
49,21.19,15.08
50,21.14,13.96
51,28.82,46.14
52,29.89,55.79
53,27.54,44.47
54,30.05,59.65
55,28.55,42.76
56,24.98,26.90
57,22.58,21.25
58,30.29,55.47
59,28.92,51.02
60,31.88,65.08
61,30.27,53.94
62,21.26,17.73
63,24.72,43.91
64,29.42,54.15
65,19.27,12.32
66,26.34,34.11
67,29.56,52.07
68,29.65,56.85
69,25.12,29.21
70,28.73,49.65
71,29.54,46.67
72,28.91,46.10
73,28.19,47.58
74,30.68,59.29
75,27.69,35.56
76,29.91,53.69
77,23.53,21.89
78,24.99,25.21
79,32.02,68.26
80,26.11,33.01
81,29.00,46.12
82,27.16,36.64
83,30.59,57.79
84,25.34,30.45
85,21.88,17.13
86,26.78,37.18
87,28.34,42.48
88,30.58,58.95
89,31.88,66.69
90,20.21,13.96
91,28.75,46.89
92,30.01,58.80
93,26.07,33.13
