"","x","y"
"1",32.76,18.01
"2",51.24,20.4
"3",40.79,18.53
"4",50.49,18.26
"5",53.79,20.1
"6",14.19,14.81
"7",47.61,20.06
"8",16.45,15.36
"9",58.29,20.57
"10",47.01,19.93
"11",35.11,18.86
"12",58.27,20.4
"13",17.07,15.14
"14",30,17.86
"15",24.67,17
"16",58.11,19.99
"17",11.84,13.33
"18",49.31,20.23
"19",14.5,14.1
"20",51.6,19.83
"21",24.16,15.35
"22",28.76,17.27
"23",13.68,13.57
"24",41.33,19.96
"25",30.84,17.69
"26",10.46,11.77
"27",49.2,19.23
"28",45.52,20.03
"29",16.5,14.4
"30",32.74,17.54
"31",22.8,14.86
"32",53.02,20.3
"33",40.04,20.08
"34",60,21.49
"35",69.77,21.53
"36",35.6,17.94
"37",57.55,20.47
"38",30.19,18.05
"39",58.39,21.1
"40",55.6,21.28
"41",11.2,13.15
"42",25.98,17.08
"43",49.71,20.4
"44",46.48,19.62
"45",66.21,20.69
"46",50.09,19.04
"47",28.94,17.13
"48",10.62,13.45
"49",29.3,17.54
"50",58.08,20.29
"51",36.26,18.42
"52",37.48,18.41
"53",22.79,15.85
"54",55.39,20.9
"55",29.64,17.79
"56",46.13,18.94
"57",50.71,19.57
"58",65.44,21.17
"59",42.38,18.54
"60",29.19,17.45
"61",53.29,21.12
"62",39.65,18.2
"63",25.57,16.2
"64",41.27,19.53
"65",47.57,20.49
"66",49.74,20.09
"67",37.94,18.38
"68",34.58,17.57
"69",53.23,20.71
"70",56.16,20.25
"71",15.85,14.3
"72",24.31,15.68
"73",10.36,13
"74",59.96,20.3
"75",17.32,14.32
"76",49.39,19.49
"77",17.04,14.48
"78",52.2,20.56
"79",48.79,19.45
"80",41.98,19.28
"81",58.45,21.03
"82",32.33,17.73
"83",57.8,20.57
"84",67.21,21.02
"85",47.42,19.39
"86",24.48,17.06
"87",39.45,19.18
"88",46.3,19.86
"89",46.88,20.06
"90",16.46,14.95
"91",47.71,19.8
"92",50.02,19.2
"93",15.47,14.45
"94",40.43,18.51
"95",18.52,15.69
"96",22.7,15.27
"97",11.05,13.4
"98",22.23,13.72
"99",69.56,22.13
"100",16.6,14.35
"101",45.79,19.67
"102",18.23,14.73
"103",48.69,19.54
"104",25.65,16.48
