"","x","y"
"1",15.18,12785115315.57
"2",39.06,7506319009952.36
"3",10.47,1018152031.58
"4",18.24,67527614484.68
"5",17.01,37198369443.58
"6",20.56,97286300822.42
"7",23.58,399736261861.43
"8",14.86,8618823051.34
"9",24.37,524617767992.21
"10",47.17,28108703334481.2
"11",49.96,55741412104511.7
"12",27.22,2009871874330.74
"13",25.6,615005153019.79
"14",35.64,5070252880445.35
"15",44.07,20146355819266.3
"16",37.33,6289809365796.24
"17",32.78,996350916371.76
"18",30.58,960136219557.68
"19",35.3,6571478508972.58
"20",37.13,6304943575115.15
"21",27.57,1230657374573.37
"22",46.07,18284976397203
"23",37.44,4552415519621.32
"24",37.87,6362173528213.83
"25",40.67,14663309052334
"26",15.79,23808386935.92
"27",24.16,208752227097.38
"28",39.14,10892124991359
"29",45.34,25643546076188.5
"30",42.84,18936213630787.7
"31",5.97,225854258.88
"32",42.21,9015231391951.24
"33",31.48,1599451284599.38
"34",30.19,1603140220811.09
"35",15.97,19132845746.57
"36",20.07,117240648454.78
"37",40.53,8407071846613.98
"38",19.32,73098140396.01
"39",48.47,36767749424158.4
"40",17.93,97220142941.83
"41",41.34,12142725685676.6
"42",13.81,779173587.37
"43",14.75,7012850578.05
"44",24.02,232445231840.61
"45",23.41,399352621463.68
"46",25.3,356707588397.82
"47",49.64,49441491689270.6
"48",20.58,102530846076.25
"49",15.49,15917728711.85
"50",17.38,32039495837.34
"51",20.47,104023422374.57
"52",36.93,22438329343813.1
"53",55.66,62887329798144.8
"54",12.87,9004734302.09
"55",34.09,4086246242329.48
"56",25.11,459898137622.86
"57",36.86,5087941530174.11
"58",18.08,26716120761.98
"59",24.27,420816158389.65
"60",44.37,21124358351026.1
"61",28.65,882457885035.25
"62",27.79,532262960848.56
"63",5.32,13099548.21
"64",18.87,68981809106.45
"65",38.82,9490778066271.97
"66",16.12,8016694749.06
"67",20.6,97802083291.44
"68",20.38,77738259679.88
"69",39.68,13168617645697.7
"70",31.95,1535857149275.09
"71",26.66,563795793055.91
"72",12.93,3195166616.96
"73",6.22,21487928.17
"74",32.47,2771922563315.22
"75",36.54,10054409512369.5
"76",25.15,323050164683.77
"77",36.73,7925963575136.93
"78",26.38,1282509126112.36
"79",32.95,2106346037389.24
"80",17.49,37624947683.18
"81",33.57,1925337933805.76
"82",45.93,33025963366904.1
"83",46.69,21784394250900.9
"84",24.02,237805491920.84
"85",25.56,373363432783.81
"86",27.6,563075706294.18
"87",4.68,5575015.79
"88",20.11,102934751166.94
"89",49.58,40733565990857.4
"90",26.72,836329247620.55
"91",46.52,27163012475608.3
"92",17.04,23482474728.64
"93",41.07,13707387887522.3
"94",10.82,1482291883.04
"95",47.85,18619472203576.8
"96",34.47,1991920817271.84
"97",16.67,23267130255.04
"98",14.37,15434273218.74
"99",54.84,65028132465305.5
"100",35.55,4665820049567.77
"101",41.51,10273015149098.1
"102",41.53,19318985232893.7
"103",45.91,36537669092865.5
"104",24.05,304291092885.24
"105",12.51,4520236968.92
"106",39.77,11029417113297.2
"107",10.41,838727835.2
"108",14.49,8521425267.18
"109",42.67,12361226483500.9
"110",37.78,10584828561500.9
"111",26.63,766380482891.06
"112",15.26,10067878897.87
"113",26.26,428808712168.57
"114",20.87,151194491939.92
"115",15.06,16680682408.66
"116",10.86,1325050069.92
"117",38.19,5841285374078.36
