"","x","y"
"1",63.04,3.77
"2",86.04,4.24
"3",77.88,4.02
"4",128.76,4.63
"5",113.07,4.44
"6",84.36,4.11
"7",100.27,4.28
"8",76.44,4.02
"9",98.09,4.26
"10",91.28,4.17
"11",63.35,3.77
"12",-8.09,2.59
"13",13.59,3.02
"14",81.88,4.12
"15",94.85,4.25
"16",42.5,3.66
"17",122.96,4.55
"18",-11.32,2.36
"19",124.1,4.56
"20",37.62,3.45
"21",105.94,4.37
"22",101.03,4.23
"23",102.74,4.31
"24",14,3.06
"25",120.53,4.55
"26",32.08,3.36
"27",11.27,3.04
"28",87.97,4.11
"29",95.07,4.25
"30",74.22,4.01
"31",117.19,4.47
"32",120.78,4.51
"33",21.92,3.16
"34",54.75,3.75
"35",41.64,3.46
"36",72.61,3.95
"37",59.28,3.74
"38",61.26,3.75
"39",28.58,3.3
"40",29.55,3.36
"41",80.04,4.09
"42",95.76,4.24
"43",82.45,4.13
"44",26.62,3.23
"45",14.21,3.18
"46",96.19,4.2
"47",35.79,3.54
"48",142.07,4.76
"49",61.58,3.79
"50",114.75,4.5
"51",49.08,3.71
"52",105.56,4.34
"53",83.36,4.16
"54",46.08,3.61
"55",68.48,3.93
"56",68.34,3.89
"57",85.92,4.15
"58",27.7,3.32
"59",22.5,3.29
"60",111.91,4.53
"61",30.9,3.39
"62",33.52,3.47
"63",94.99,4.26
"64",126.63,4.57
"65",35.1,3.49
"66",124.79,4.63
"67",39.13,3.39
"68",110.01,4.43
"69",31.27,3.33
"70",109.09,4.39
"71",126.83,4.59
"72",72.54,3.93
"73",14.22,3.1
"74",43.77,3.61
"75",47.59,3.47
"76",31.06,3.4
"77",49,3.72
"78",100.42,4.34
"79",83.26,4.08
"80",47.7,3.47
"81",128.91,4.61
"82",149.2,4.83
"83",91.38,4.18
"84",67.96,4.05
"85",72.79,3.96
"86",-2.03,2.87
"87",16.15,3.08
"88",10.75,3
"89",18.98,2.97
"90",31.75,3.38
"91",35.2,3.36
"92",67.07,3.89
"93",22.52,3.18
"94",99.51,4.33
"95",43.79,3.52
"96",42.91,3.53
"97",40.73,3.61
"98",19.76,3.22
"99",84.72,4.12
"100",101.41,4.27
"101",67.98,3.95
"102",62.9,3.88
"103",113.49,4.47
"104",123.54,4.53
"105",80.85,4.1
"106",66.15,3.8
"107",17.98,3.22
"108",16.31,3.09
"109",33.69,3.47
"110",39.99,3.47
"111",20.75,3.25
"112",32.01,3.27
"113",69.2,3.97
"114",49.67,3.69
"115",12.41,3.19
"116",61.16,3.74
"117",102.21,4.34
"118",94.93,4.19
"119",38.29,3.43
"120",47.79,3.68
"121",94.07,4.24
"122",42.73,3.52
"123",124.36,4.53
"124",17.66,3.07
"125",38.67,3.47
"126",84.17,4.22
"127",126.58,4.59
"128",105.1,4.41
"129",24.93,3.17
"130",58.23,3.72
"131",55.9,3.83
"132",105.37,4.44
"133",118.94,4.49
"134",68.83,3.77
"135",87.79,4.21
"136",-8.76,2.27
"137",26.05,3.32
"138",76.68,3.97
"139",90.61,4.16
"140",20.85,3.28
"141",88.97,4.18
"142",84.83,4.11
"143",118.93,4.47
"144",53.27,3.57
