,y,x
1,347.91,20.26
2,186.24,16.50
3,644.65,21.71
4,1425.47,28.38
5,204.67,16.43
6,326.14,18.74
7,1271.48,25.79
8,914.65,29.98
9,602.00,21.70
10,374.56,18.75
11,659.43,25.00
12,237.69,18.80
13,65.01,12.13
14,174.38,16.59
15,327.07,19.93
16,675.80,23.44
17,498.04,20.51
18,2532.11,28.67
19,134.62,14.80
20,1646.55,28.94
21,651.93,21.47
22,322.13,21.67
23,4993.32,28.92
24,2315.19,28.60
25,394.21,19.75
26,123.73,14.41
27,1149.30,25.12
28,65.99,11.59
29,2993.89,29.44
30,752.09,22.79
31,2127.09,28.67
32,55.71,7.49
33,142.98,15.03
34,277.82,18.68
35,336.13,18.89
36,2417.06,27.08
37,15.79,6.54
38,2175.01,26.68
39,1320.85,27.02
40,173.70,16.32
41,1390.72,27.86
42,312.47,17.16
43,79.17,14.41
44,1111.16,25.78
45,105.58,15.62
46,623.48,24.24
47,315.23,19.88
48,68.82,10.18
49,137.41,15.29
50,469.78,22.92
51,116.00,13.67
52,8075.44,32.32
53,69.24,11.61
54,174.59,16.80
55,711.78,29.41
56,830.08,23.46
57,41.31,10.10
58,1536.59,26.96
59,2679.85,29.19
60,658.86,23.21
61,518.44,24.66
62,113.80,12.28
63,539.82,22.82
64,1864.98,29.94
65,201.06,16.54
66,524.66,21.80
67,74.98,12.80
68,63.64,11.57
69,109.64,11.33
70,486.96,21.76
71,272.44,17.58
72,823.13,20.79
73,401.94,20.95
74,247.58,20.64
75,5939.67,32.37
76,558.42,20.53
77,1704.89,27.83
78,51.86,10.43
79,78.86,12.05
80,52.32,10.98
81,21.72,7.35
82,1461.51,28.44
83,103.74,13.78
84,1614.52,27.08
85,585.03,21.17
86,1217.41,25.63
87,626.26,22.39
88,150.97,19.37
89,59.58,10.76
90,1341.79,29.23
91,701.51,21.17
92,1369.65,26.90
93,2547.20,28.28
94,1560.38,27.65
95,262.94,20.14
96,1432.65,24.10
97,1421.44,27.79
98,72.34,10.10
99,1031.52,27.50
100,70.18,11.91
101,1615.50,27.84
102,1375.73,26.34
103,116.08,13.51
104,458.83,18.74
105,296.57,19.93
106,1815.39,28.47
107,2802.99,29.30
108,140.47,12.53
109,1262.56,25.53
110,928.04,25.29
111,17856.88,33.11
112,225.89,18.48
113,2295.64,26.74
114,118.42,17.57
115,237.07,15.05
116,70.03,13.06
117,3646.84,28.89
