"","x","y"
"1",6.24,13.59
"2",3.77,4.54
"3",5.38,3.5
"4",4.64,4.24
"5",9.21,17.93
"6",7.72,14.07
"7",7.92,8.51
"8",7.31,12.28
"9",2.62,0.73
"10",7.86,-0.72
"11",1.64,-1.29
"12",1.54,-1.7
"13",4.05,2.82
"14",4.34,-0.56
"15",5.07,5.84
"16",9.31,21.14
"17",3.36,5.76
"18",5.49,0.78
"19",9.48,15.6
"20",1,3.37
"21",6.72,5.43
"22",5.61,8.96
"23",7.29,14.17
"24",5.12,4.49
"25",5.59,3.82
"26",7.15,10.13
"27",6.86,7.87
"28",1.29,3.08
"29",6.65,10.02
"30",2.84,4.86
"31",4.73,-2.2
"32",1.84,2.23
"33",6.1,2.39
"34",7.1,10.13
"35",4.81,7.47
"36",1,0.04
"37",11.18,21.83
"38",7.18,7.66
"39",6.31,8.74
"40",6.04,6.94
"41",6.19,7.76
"42",9.18,14.54
"43",-0.39,1.1
"44",9.69,23.57
"45",1.53,6.22
"46",5.94,12.14
"47",5.16,1.59
"48",2.75,0.31
"49",3.47,1.36
"50",9.07,17.16
"51",6.97,11.08
"52",1.44,2.71
"53",4.93,10.42
"54",2.2,-1
"55",7.79,8.82
"56",1.56,-0.31
"57",1.62,0.84
"58",8.65,13.63
"59",1.56,0.58
"60",7.59,12.45
"61",5.24,9.19
"62",1.98,-0.34
"63",5.95,7.13
"64",3.71,5.14
"65",11.42,13.95
"66",3.36,7.5
"67",5.97,7.69
"68",6.97,8.31
"69",6.23,5.58
"70",6.66,12.65
"71",3,3.46
"72",7.08,5.68
"73",9.78,21.82
"74",10.99,25.58
"75",3.66,1.35
"76",3.37,1.23
"77",2.47,3.8
"78",-0.75,10.02
"79",9.87,20.1
"80",8.77,21.24
"81",7.13,8.95
"82",2.51,-0.81
"83",9.95,18.21
"84",2.55,-2.35
"85",5.35,25.57
"86",9.44,14.13
"87",3.2,3.98
"88",1.49,-2.03
"89",0.01,-4.82
"90",6.29,4.65
"91",5.92,6.5
"92",9.67,17.38
"93",6.27,2.42
"94",3.41,7.26
"95",2.65,1.15
"96",4.13,5.56
"97",8.36,11.18
"98",4.71,5.77
"99",1.63,-0.61
"100",3.83,2.34
