"","x","y"
"1",55.19,29.39
"2",50.78,29.81
"3",39.79,27.77
"4",58.95,30.58
"5",55.47,30.29
"6",37.18,26.78
"7",13.96,20.21
"8",14.69,21.08
"9",42.37,27.65
"10",36.66,27.45
"11",46.13,29.26
"12",46.67,29.54
"13",13.96,21.14
"14",46.89,28.75
"15",36.57,27
"16",43.14,27.7
"17",26.9,24.98
"18",35.22,28.31
"19",44.94,29.48
"20",34.72,26.22
"21",15.3,21.42
"22",57.79,30.59
"23",50.7,29
"24",47.58,28.19
"25",37.56,27.53
"26",14.59,20.53
"27",33.13,26.07
"28",68.26,32.02
"29",46.14,28.82
"30",31.24,25.63
"31",34.11,26.34
"32",10.82,19.42
"33",66.69,31.88
"34",31.26,26.11
"35",58.5,30.72
"36",42.48,28.34
"37",35.56,27.69
"38",65.08,31.88
"39",25.21,24.99
"40",49.65,28.73
"41",51.02,28.92
"42",59.65,30.05
"43",56.85,29.65
"44",17.13,21.88
"45",59.29,30.68
"46",15.39,21.3
"47",26.59,22.39
"48",54.15,29.42
"49",66.14,31.02
"50",58.8,30.01
"51",33.01,26.11
"52",53.69,29.91
"53",39.21,26.49
"54",29.21,25.12
"55",22.1,23.7
"56",43.28,28.94
"57",59.61,29.88
"58",20.34,23.49
"59",46.1,28.91
"60",40.22,28.28
"61",30.45,25.34
"62",21.89,23.53
"63",42.72,27.46
"64",25.2,24.54
"65",51.77,28.78
"66",21.27,22.63
"67",42.76,28.55
"68",47.75,28.34
"69",17.81,20.76
"70",43.17,28.14
"71",44.47,27.54
"72",66.09,30.94
"73",15.08,21.19
"74",60,31.02
"75",22.07,23.76
"76",21.25,22.58
"77",12.32,19.27
"78",46.12,29
"79",17.69,22.2
"80",52.27,28.84
"81",41.83,27.92
"82",52.07,29.56
"83",36.64,27.16
"84",56.37,29.91
"85",55.79,29.89
"86",31.3,26.07
"87",47.7,29.02
"88",16.72,20.59
"89",43.91,24.72
"90",20.58,22.55
"91",53.94,30.27
"92",17.73,21.26
"93",58.47,29.85
