,y,x
1,208.20,15.60
2,40.77,8.42
3,53.58,13.37
4,492.56,25.42
5,803.86,29.31
6,611.17,28.15
7,189.95,19.67
8,238.23,19.03
9,334.38,22.67
10,103.76,11.79
11,609.76,25.59
12,2085.21,13.12
13,575.03,25.36
14,532.07,25.78
15,73.31,12.06
16,455.38,22.81
17,69.00,10.74
18,305.47,20.72
19,362.71,17.81
20,56.31,10.64
21,1072.86,28.23
22,639.89,26.83
23,230.38,16.19
24,298.58,20.45
25,519.09,22.10
26,156.77,17.56
27,147.55,17.62
28,121.90,15.42
29,57.81,10.75
30,695.95,24.03
31,63.50,10.89
32,311.72,18.05
33,839.71,29.69
34,79.32,16.96
35,193.56,20.71
36,761.98,27.36
37,1653.26,32.42
38,446.57,23.86
39,149.59,12.46
40,285.62,22.05
41,1063.55,27.04
42,294.32,20.71
43,1803.91,22.40
44,2231.19,31.71
45,264.73,22.43
46,528.25,26.71
47,159.53,14.21
48,175.33,15.55
49,85.73,15.02
50,1690.24,26.75
51,63.05,14.46
52,488.37,22.15
53,218.61,17.38
54,135.43,16.65
55,122.57,15.96
56,60.20,14.18
57,423.11,21.60
58,97.02,14.12
59,113.09,14.74
60,693.15,26.59
61,203.29,19.98
62,566.34,26.20
63,433.30,23.65
64,124.57,15.64
65,56.20,13.28
66,112.05,15.84
67,234.82,17.72
68,684.82,27.84
69,623.59,22.37
70,92.83,13.88
71,11.20,7.69
72,103.76,13.19
73,1621.11,28.82
74,445.88,23.82
75,51.58,14.68
76,243.60,21.19
77,514.53,23.94
78,1056.06,27.54
79,552.96,21.43
80,232.73,16.51
81,1360.42,28.45
82,89.15,15.03
83,253.93,19.59
84,91.16,10.51
85,80.21,17.00
86,1225.29,29.24
87,1115.70,28.02
88,205.35,19.70
89,1471.48,31.65
90,318.47,22.21
91,722.15,28.91
92,934.36,27.17
93,99.58,16.16
94,112.90,17.60
95,110.90,15.39
96,811.73,28.10
97,63.52,13.56
98,61.38,13.13
99,319.45,21.79
100,100.61,17.17
101,20.57,7.05
102,717.64,26.24
103,69.43,12.91
