"","x","y"
"1",629.1,135.96
"2",966.49,175.54
"3",122.74,67.78
"4",880.33,162.02
"5",336.63,105.42
"6",622.34,130.01
"7",591.98,138.23
"8",776.53,159.03
"9",739.25,149.69
"10",163.72,69.85
"11",242.57,86.41
"12",875.05,158.88
"13",545.51,130.74
"14",249.39,90.64
"15",615.56,130.55
"16",175.66,75.46
"17",883.21,151.99
"18",158.3,70.29
"19",1031.87,176.1
"20",507.13,131.92
"21",456.72,115.5
"22",574.03,122.78
"23",411.7,104.82
"24",586.24,133.77
"25",269.75,92.37
"26",995.92,163.87
"27",152.4,82.37
"28",183.83,69.28
"29",293.89,91.12
"30",373.04,111.55
"31",401.58,112.01
"32",750.43,150.75
"33",497.94,124.35
"34",209.53,84.18
"35",236.07,104.38
"36",835.85,152.44
"37",652.08,139.21
"38",718.31,152.63
"39",850.97,160.88
"40",661.03,137.97
"41",788.65,153.68
"42",406.39,111.37
"43",826.36,153.8
"44",334.11,102.54
"45",624.59,136.45
"46",512.86,126.91
"47",837.18,155.2
"48",820.61,155.3
"49",260.75,86.21
"50",931.13,166.37
"51",413.5,114.76
"52",938.83,162.82
"53",486.48,117.47
"54",477.51,120.68
"55",174.77,75.07
"56",442.98,120.4
"57",823.11,161.91
"58",807.55,150.03
"59",462.81,125.29
"60",821.98,157.11
"61",79.35,64.14
"62",621.24,137.99
"63",171.68,76.91
"64",1049.92,169.25
"65",921.31,132.17
"66",912.03,153.49
"67",234.5,86.91
"68",936.02,157.64
"69",364.16,96.78
"70",923.88,161.58
"71",434.45,125.37
"72",500.26,129.98
"73",140.16,65.07
"74",869.93,159.85
"75",873.02,165.97
"76",363.23,105.63
"77",918.75,154.38
"78",244.46,84.96
"79",882.24,160.16
"80",160.63,79.32
"81",829.74,149.68
"82",655.88,145.32
"83",233.87,94.94
"84",878.64,158.47
"85",982.48,172.48
"86",661.94,137.52
"87",485.34,118.81
"88",765.32,145.54
"89",569.85,127.19
"90",84.41,39.59
"91",877.6,161.22
"92",74.5,46.78
"93",495.32,119.25
"94",286.49,90.83
"95",968.52,171.66
"96",376.74,103.61
"97",179.35,77.33
"98",585.67,130.79
"99",763.39,142.54
"100",192.3,82.05
"101",473.63,114.53
"102",158.07,74.26
"103",410.28,118.62
"104",260.5,86.39
"105",451.11,115.42
"106",186.32,77.45
"107",619.26,137.16
"108",972.77,170.12
"109",899.78,175.19
"110",394.05,108.96
"111",179.3,79.75
"112",264.64,88.36
"113",223.92,82.74
"114",446.99,114.21
"115",261.53,93.26
"116",182.77,80.78
"117",72.06,49.94
"118",265.95,92.98
"119",964.3,170.25
"120",604.15,133.64
"121",730.91,146.02
