"","x","y"
"1",121.78,4
"2",110.72,3.91
"3",80.04,3.61
"4",68.99,3.4
"5",126,4.09
"6",71.5,3.56
"7",126.14,4.05
"8",99.93,3.84
"9",67.02,3.54
"10",108.43,3.85
"11",73.48,3.51
"12",11.14,2.7
"13",55.92,3.28
"14",36.19,3.11
"15",17.06,2.81
"16",29.05,2.98
"17",49.47,3.16
"18",62.24,3.45
"19",11.32,2.71
"20",45.36,3.16
"21",80.58,3.64
"22",59.94,3.34
"23",97.91,3.77
"24",12.41,2.71
"25",37.08,3.04
"26",68.26,3.47
"27",80.6,3.62
"28",98.83,3.81
"29",145.54,4.14
"30",112.71,3.94
"31",35.91,3.11
"32",33.15,2.99
"33",-11.28,2.24
"34",143.21,4.18
"35",94.23,3.75
"36",95.54,3.71
"37",121.2,3.96
"38",60.55,3.38
"39",54.9,3.11
"40",106.01,3.82
"41",65.83,3.53
"42",119.63,4.1
"43",80.77,3.62
"44",80.05,3.51
"45",107.5,3.88
"46",145.12,4.17
"47",106.22,3.84
"48",86.28,3.64
"49",128.4,4.09
"50",32.26,2.96
"51",62.61,3.46
"52",70.5,3.44
"53",53.63,3.34
"54",99.38,3.84
"55",113.84,3.96
"56",33.76,2.97
"57",116.32,3.96
"58",104.07,3.89
"59",42.33,3.2
"60",115.07,3.94
"61",25.26,2.89
"62",36.1,2.98
"63",53.55,3.34
"64",52.05,3.25
"65",78.54,3.59
"66",40.67,3.11
"67",43.73,3.26
"68",97.95,3.75
"69",71.14,3.52
"70",30.01,3.04
"71",70.37,3.49
"72",43.34,3.17
"73",60.13,3.37
"74",78.42,3.69
"75",32.81,3.01
"76",31.19,3.03
"77",29.94,2.89
"78",103.57,3.83
"79",101.64,3.74
"80",33.82,3.07
"81",107.76,3.89
"82",114.46,3.92
"83",98.43,3.81
"84",118.45,4
"85",39.94,3.08
"86",73.87,3.5
"87",73.81,3.49
"88",82.15,3.63
"89",127.77,4.1
"90",74.22,3.57
"91",118.95,3.99
"92",141.59,4.18
"93",21.42,2.82
"94",77.38,3.59
"95",34.01,3
"96",33.42,3.06
"97",49.2,3.29
"98",115.18,3.94
"99",38.34,3.14
"100",28.77,2.99
"101",78.42,3.57
"102",66.31,3.48
"103",86.79,3.68
"104",17.62,2.71
"105",18.88,2.87
"106",143.74,4.24
"107",23.64,2.95
"108",67.55,3.5
"109",121.08,3.97
"110",127.78,4.03
"111",90.29,3.75
"112",122.59,4
"113",94.69,3.72
"114",45.98,3.21
"115",52.17,3.33
"116",73.45,3.48
"117",128.93,4.13
"118",54.74,3.38
"119",110.84,3.88
"120",74.13,3.49
"121",29.06,2.99
"122",17.98,2.7
"123",110.61,3.9
"124",128.36,4.06
