,y,x
1,3.010,32.81
2,3.491,70.37
3,3.621,80.77
4,4.098,127.77
5,3.497,73.87
6,3.718,94.69
7,3.964,116.32
8,3.939,115.18
9,3.754,90.29
10,2.705,11.32
11,3.466,68.26
12,3.685,78.42
13,3.897,110.61
14,2.997,34.01
15,3.446,62.24
16,3.642,86.28
17,3.751,97.95
18,3.678,86.79
19,3.212,45.98
20,2.984,36.10
21,2.893,29.94
22,4.030,127.78
23,4.003,121.78
24,3.284,55.92
25,3.330,52.17
26,3.459,62.61
27,3.563,71.50
28,3.064,33.42
29,3.142,38.34
30,3.529,65.83
31,2.975,29.05
32,4.057,128.36
33,2.810,17.06
34,3.643,80.58
35,3.480,73.45
36,3.294,49.20
37,3.338,53.63
38,4.088,126.00
39,3.997,118.45
40,3.115,40.67
41,3.710,95.54
42,3.110,36.19
43,2.969,33.76
44,3.161,49.47
45,4.169,145.12
46,2.703,11.14
47,4.127,128.93
48,3.480,66.31
49,3.441,70.50
50,3.837,99.93
51,3.964,121.20
52,3.508,80.05
53,3.539,67.02
54,3.516,71.14
55,4.185,143.21
56,3.888,104.07
57,3.506,73.48
58,3.936,115.07
59,3.161,45.36
60,2.815,21.42
61,3.937,112.71
62,3.806,98.83
63,2.991,29.06
64,3.343,59.94
65,3.376,54.74
66,2.892,25.26
67,2.994,33.15
68,4.183,141.59
69,3.879,107.50
70,3.338,53.55
71,3.168,43.34
72,3.571,78.42
73,3.401,68.99
74,2.963,32.26
75,3.970,121.08
76,3.070,33.82
77,3.029,31.19
78,3.878,110.84
79,3.747,94.23
80,3.808,98.43
81,4.048,126.14
82,3.909,110.72
83,3.893,107.76
84,4.102,119.63
85,3.619,80.60
86,3.832,103.57
87,3.264,43.73
88,2.705,17.62
89,3.250,52.05
90,3.587,77.38
91,3.956,113.84
92,3.741,101.64
93,2.949,23.64
94,3.923,114.46
95,3.039,30.01
96,4.141,145.54
97,3.595,78.54
98,3.381,60.55
99,3.202,42.33
100,3.567,74.22
101,3.772,97.91
102,3.607,80.04
103,2.713,12.41
104,3.850,108.43
105,3.489,73.81
106,3.368,60.13
107,3.987,118.95
108,4.244,143.74
109,3.113,35.91
110,2.987,28.77
111,3.840,99.38
112,3.035,37.08
113,3.111,54.90
114,3.843,106.22
115,4.087,128.40
116,2.235,-11.28
117,3.493,74.13
118,3.818,106.01
119,3.997,122.59
120,2.865,18.88
121,3.079,39.94
122,3.631,82.15
123,2.700,17.98
124,3.497,67.55
