,y,x
1,1174494.35,15.60
2,32623143.01,51.21
3,9732214.70,29.15
4,1669093.42,17.87
5,19422366.32,40.95
6,958336.86,14.27
7,32868596.70,38.68
8,9608743.77,32.80
9,27019007.77,39.12
10,1370636.72,19.99
11,44164268.04,42.40
12,45290457.09,47.18
13,125291493.55,67.34
14,18278506.31,41.17
15,30914243.01,52.35
16,230861464.45,64.76
17,10768557.13,34.61
18,162916656.39,58.87
19,273515310.50,67.66
20,5216125.59,32.68
21,11408683.44,26.28
22,123493381.97,54.10
23,39017891.51,55.55
24,31483911.93,35.28
25,1255634.24,20.52
26,5746858.92,26.70
27,771918.39,16.53
28,15871119.67,35.54
29,1089850.87,17.97
30,74830090.28,51.28
31,1504300.08,16.11
32,37619746.88,42.71
33,12364749.64,25.92
34,1045958.63,18.27
35,117230990.17,67.70
36,2460137.24,23.78
37,27049521.07,46.67
38,1892276.47,18.44
39,14554928.54,27.70
40,13558905.09,31.37
41,56154259.52,55.10
42,30566008.19,45.82
43,23597990.59,40.25
44,93330711.54,57.78
45,9483877.22,36.31
46,21865692.37,39.40
47,1348040.84,15.22
48,17638190.79,42.20
49,159637617.53,43.05
50,23528803.38,34.70
51,9581906.76,31.13
52,102979414.23,54.79
53,2285466.08,17.48
54,176289710.21,57.05
55,69930945.68,56.09
56,139051757.79,31.29
57,62480906.36,57.90
58,527926.63,14.60
59,23193899.77,48.24
60,82038481.87,59.61
61,1622542.09,18.69
62,19971731.07,36.36
63,924669.29,15.31
64,5645500.41,35.30
65,14553342.60,38.32
66,993479.40,16.27
67,101703479.31,57.71
68,1346799.51,17.89
69,101320640.57,36.48
70,13099688.41,39.43
71,766370.19,16.52
72,1977457.26,38.97
73,13514688.97,34.12
74,4060972.94,28.04
75,1749386.84,19.69
76,16820849.87,38.79
77,110545194.35,55.01
78,130653225.17,57.08
79,3730350.38,44.33
80,23795080.85,33.36
81,1900548.70,27.45
82,6416852.89,28.20
83,40936870.78,54.14
84,2053521.72,22.45
85,157664393.81,66.74
86,13794735.97,37.34
87,20125564.69,50.86
88,137712377.82,55.95
89,887768.46,15.99
90,1214701.65,17.29
91,120336796.58,39.96
92,2458197.44,18.69
93,40737798.23,56.88
94,65389845.89,47.54
95,251085.68,11.97
96,106613300.19,54.02
97,12400689.77,23.68
98,5311540.83,26.05
99,197227280.32,53.88
100,13672783.07,37.69
101,16245704.58,36.65
