"","x","y"
"1",5.45,5.54
"2",3.48,1.2
"3",4.21,6.05
"4",6.63,9.59
"5",1.94,0.09
"6",4.28,2.17
"7",2.83,7.01
"8",3.67,9.34
"9",7.08,8.29
"10",3.56,0.81
"11",5.85,7.09
"12",4.15,6.71
"13",6.45,10.48
"14",8.36,13.67
"15",6.3,8.05
"16",7.84,14.6
"17",2.92,5.07
"18",3.31,3.29
"19",4.17,6.13
"20",9.99,16.86
"21",5.86,6.11
"22",9.24,15.19
"23",7.45,11.59
"24",8.32,14.2
"25",2.6,4.55
"26",7.27,10.04
"27",5.64,5.85
"28",3.19,4.36
"29",5.29,7.78
"30",2.32,3.46
"31",2.78,4.58
"32",2.88,12.69
"33",2.08,5.22
"34",4.48,8.82
"35",-0.51,1.11
"36",-0.13,2.48
"37",9,16.86
"38",1.99,2.97
"39",6.63,5.64
"40",5.91,4.81
"41",9.72,19.15
"42",5.12,9.84
"43",-0.1,7.81
"44",4.51,10.71
"45",3.72,7.07
"46",9.65,18.39
"47",8.35,16.67
"48",7.87,12.54
"49",1.73,1.37
"50",1.12,1.16
"51",1.73,-1.3
"52",9.84,24.31
"53",6.26,3.32
"54",9.03,14.09
"55",9.63,15.44
"56",9.9,20.67
"57",7.43,12.2
"58",2.44,8.23
"59",-0.65,0.66
"60",5.02,7.31
"61",6.53,6.91
"62",5.68,10.15
"63",5.12,11.53
"64",3.15,2.88
"65",3.72,3.55
"66",6.85,21.68
"67",9.01,13.83
"68",2.83,3.81
"69",2.98,6.99
"70",5.3,9.3
"71",8.01,12.22
"72",4.57,-0.22
"73",3.06,5.34
"74",4.71,9.76
"75",4.41,6.79
"76",7.18,5.44
"77",9.52,20.12
"78",9.05,18.05
"79",9.84,19.61
"80",8.29,14.39
"81",11.38,27.51
"82",4.42,3.54
"83",4.12,3.38
"84",7.77,10.7
"85",1.64,0.38
"86",4.92,6
"87",11.58,28
"88",6.17,14.56
"89",9.94,21.81
"90",1.44,-2.85
"91",5.43,9.61
"92",5.11,5.66
"93",3.54,3.66
"94",3.75,7.74
