"","x","y"
"1",0.16,7.56
"2",7.18,25.77
"3",9.23,39.7
"4",8.17,29.14
"5",2.94,7.83
"6",5.1,17.84
"7",-0.13,3.93
"8",7.57,22.77
"9",5.24,13.4
"10",6.93,23.55
"11",2.99,3.3
"12",9.99,35.15
"13",1.78,-15.37
"14",3.34,8.36
"15",11.64,53.84
"16",9.59,32.65
"17",5.82,17.51
"18",7.84,25.53
"19",4.37,10.65
"20",11.42,50.01
"21",9.72,32.44
"22",6.31,17.71
"23",6.82,20.75
"24",1.47,3.27
"25",2.5,8.35
"26",6.18,17.89
"27",1.29,9.61
"28",2.98,7.12
"29",4.67,11.47
"30",5.9,21.04
"31",1.95,5.78
"32",3.95,5.92
"33",2,4.36
"34",2.69,6.16
"35",8.96,31.16
"36",5.46,8.2
"37",5.72,19.38
"38",7.68,30.2
"39",5,8.14
"40",9.28,31.91
"41",6.6,14.23
"42",7.79,22.51
"43",3.19,10.15
"44",4.86,10.11
"45",1.39,6.22
"46",2.59,6.58
"47",8.41,30.59
"48",7.49,25.11
"49",5.09,10.88
"50",1.94,8.22
"51",7.69,23.99
"52",6.15,15.53
"53",2.91,5.15
"54",6.34,18.52
"55",4.53,14.91
"56",4.11,9
"57",7.42,14.41
"58",1.99,7.42
"59",9.16,32.18
"60",-0.19,9.48
"61",1.37,6.66
"62",5.8,13.79
"63",6.87,23.5
"64",6.06,14.18
"65",4.12,6.69
"66",3.58,11.52
"67",-0.31,3.53
"68",1.38,6.37
"69",9.4,37.06
"70",6.44,17.08
"71",2.66,6.76
"72",8.92,26.37
"73",8.14,28.02
"74",4.21,16.56
"75",5.49,16.24
"76",7.34,27.61
"77",9.96,35.94
"78",8.15,19.81
"79",5.3,15.34
"80",2.85,3.68
"81",6.09,23.22
"82",9.44,38.86
"83",6.69,17.16
"84",7.26,23.45
"85",8.31,33.22
"86",8.02,30.1
"87",3.83,7.08
"88",7.53,23.74
"89",4.31,12.93
"90",9.36,27.87
"91",1.79,3.87
"92",7.45,25.98
