,y,x
1,17.487,6.896
2,19.625,7.387
3,41.283,11.508
4,7.293,3.072
5,10.666,3.608
6,5.869,2.262
7,0.755,1.068
8,9.358,3.649
9,0.735,1.053
10,-0.335,3.046
11,11.404,5.014
12,19.347,7.445
13,36.818,9.715
14,46.692,11.523
15,-0.238,5.334
16,11.457,4.841
17,1.090,1.768
18,18.896,7.669
19,8.561,4.447
20,0.568,3.025
21,1.586,1.126
22,24.887,8.846
23,0.867,1.009
24,14.721,5.718
25,32.189,9.030
26,4.781,1.212
27,26.885,9.421
28,33.605,9.753
29,34.717,9.003
30,0.694,1.436
31,37.017,9.963
32,19.317,8.426
33,36.798,9.996
34,25.565,7.946
35,15.045,5.001
36,23.350,8.225
37,7.184,3.628
38,6.697,1.199
39,14.279,5.579
40,21.039,7.562
41,0.823,1.065
42,33.570,9.223
43,35.781,9.369
44,18.525,8.136
45,9.597,4.989
46,-0.018,2.080
47,1.354,1.471
48,-3.788,1.355
49,25.868,7.929
50,21.773,7.584
51,10.375,6.922
52,4.389,2.956
53,-0.901,1.069
54,2.440,3.742
55,3.907,1.512
56,27.856,9.550
57,4.993,2.196
58,3.796,1.395
59,22.237,8.879
60,2.365,1.405
61,22.677,7.934
62,3.944,1.597
63,3.478,4.050
64,31.499,9.878
65,3.196,4.587
66,13.073,6.471
67,2.254,1.953
68,15.246,6.308
69,4.852,3.025
70,34.532,8.840
71,4.196,4.327
72,16.716,5.832
73,14.392,5.811
74,29.881,9.540
75,1.434,1.952
76,31.467,9.938
77,9.409,6.073
78,2.242,2.929
79,28.148,8.726
80,3.028,-0.563
81,12.585,5.798
82,10.019,6.858
83,5.374,4.491
84,2.378,-0.188
85,10.084,-0.220
86,28.934,8.493
87,41.678,10.987
88,15.671,6.192
89,7.539,4.858
90,24.209,8.411
91,7.359,5.040
92,28.560,9.692
93,9.754,4.921
94,10.794,2.441
