,y,x
1,86.60,185.22
2,96.47,241.51
3,123.19,339.56
4,55.96,60.11
5,112.74,281.91
6,158.40,561.85
7,176.62,770.85
8,194.31,899.11
9,96.31,233.83
10,61.20,72.13
11,134.89,382.95
12,73.05,131.69
13,79.66,139.86
14,200.20,921.97
15,138.51,447.12
16,68.16,108.09
17,109.68,284.46
18,111.87,267.31
19,162.69,666.44
20,190.22,834.91
21,155.44,556.09
22,66.35,229.76
23,109.62,307.70
24,193.34,829.58
25,135.58,369.68
26,204.29,914.68
27,170.73,712.68
28,125.96,370.98
29,127.43,388.49
30,72.22,130.40
31,181.31,779.48
32,150.30,556.69
33,73.74,106.43
34,159.05,578.82
35,134.82,407.67
36,140.41,439.09
37,199.58,965.77
38,191.58,804.35
39,144.01,527.03
40,143.77,485.11
41,207.53,917.25
42,153.36,561.74
43,114.49,310.54
44,88.19,173.08
45,183.29,788.04
46,164.89,606.08
47,75.26,110.57
48,204.77,743.63
49,190.19,866.09
50,137.38,383.77
51,76.00,144.12
52,211.33,1026.82
53,110.54,290.18
54,178.58,744.50
55,96.67,226.29
56,187.69,843.22
57,184.77,794.33
58,166.24,675.72
59,185.94,819.85
60,116.64,333.11
61,126.85,398.83
62,196.12,887.62
63,96.62,200.21
64,139.81,392.71
65,202.92,964.90
66,145.44,468.43
67,146.69,536.61
68,118.78,327.84
69,201.12,876.48
70,160.72,650.92
71,144.96,518.79
72,179.05,756.65
73,113.57,296.89
74,191.72,935.36
75,203.09,979.20
76,177.19,766.91
77,175.99,742.80
78,105.21,258.93
79,97.45,206.51
80,166.97,616.67
81,139.23,444.13
82,187.74,818.63
83,218.29,1021.10
84,153.18,568.42
85,74.38,120.53
86,191.61,873.85
87,130.05,405.84
88,175.32,674.00
89,146.03,537.59
90,130.18,413.30
91,184.13,817.34
92,150.54,546.34
93,149.45,510.88
94,111.24,303.32
95,208.85,1037.07
96,196.28,939.72
97,177.87,739.04
98,156.19,533.96
99,175.32,734.36
100,121.68,361.80
101,189.48,785.91
102,126.20,397.99
103,131.98,382.39
104,197.49,927.66
105,197.74,974.97
106,51.21,63.09
107,115.63,329.21
108,111.34,275.74
109,152.40,526.83
110,116.89,307.19
111,121.70,358.98
112,113.69,350.76
113,193.95,878.79
