,y,x
1,76962171.58,19.35
2,66452955.26,21.64
3,2774884187.87,37.27
4,119741726833.01,68.32
5,3047438999.65,22.32
6,24237372991.43,44.51
7,931227302.40,27.32
8,14135934.04,13.44
9,26409779071.96,57.82
10,15305167405.89,51.43
11,10861914324.46,41.54
12,12994489.32,12.50
13,14950323985.26,53.50
14,16140530.95,16.19
15,18124917252.39,53.00
16,64835757.89,17.32
17,70683429.41,21.56
18,25064222770.72,51.57
19,21137145340.99,51.50
20,57766326187.19,68.58
21,28599878346.93,52.01
22,117652357.45,20.09
23,65206139818.88,68.49
24,58020743256.59,56.27
25,63171321930.44,57.18
26,197689.76,5.49
27,34496845648.65,52.22
28,58945195629.06,59.45
29,5269727943.91,31.57
30,47350178185.19,52.68
31,6387803661.38,40.99
32,579425870.94,24.72
33,30078526.14,10.56
34,28042280915.17,57.12
35,10570473094.21,40.16
36,21624045060.95,23.09
37,26554715426.64,46.96
38,33735068544.29,55.90
39,100926141.51,20.39
40,45816847364.73,56.44
41,89954884.27,19.75
42,35672263387.84,50.73
43,15617887992.40,46.99
44,10061067912.01,42.97
45,166019140.51,14.47
46,877509932.93,25.31
47,15468986449.69,47.87
48,14265716768.86,44.50
49,26784162708.19,59.41
50,193178684.61,21.26
51,28978715444.56,55.07
52,24069227110.31,55.72
53,7000695552.02,43.62
54,16799068345.71,42.29
55,16180575972.63,52.34
56,586751136.73,23.50
57,8052075901.20,48.52
58,4096841718.43,35.71
59,284858.82,13.99
60,170520003.90,19.53
61,217432263910.25,68.98
62,162067344.76,22.32
63,8211657813.71,41.96
64,8091477.60,13.29
65,154324093.68,20.12
66,48796463.67,15.50
67,2105633424.08,34.60
68,97234.83,4.21
69,107933645121.96,65.96
70,298696003.88,30.98
71,37837513984.88,69.09
72,1574972094.01,29.58
73,2154537130.27,37.18
74,67625541066.08,53.95
75,6037681614.74,47.21
76,6108887478.64,33.09
77,9660683.57,12.64
78,9508136677.18,50.68
79,2051316860.56,31.97
80,1264131489.06,30.13
81,813769247.21,28.65
82,215317580.74,20.50
83,17176645.27,13.56
