"","x","y"
"1",121.32,2.41
"2",45.06,2.27
"3",142.33,2.51
"4",48.96,2.23
"5",84.54,2.31
"6",12.52,2.15
"7",84.83,2.33
"8",52.53,2.24
"9",14.45,2.14
"10",107.02,2.42
"11",78.64,2.3
"12",11.59,2.1
"13",126.78,2.46
"14",82.91,2.3
"15",-11.14,1.98
"16",83.89,2.32
"17",93.63,2.36
"18",100.24,2.37
"19",107.67,2.37
"20",54.9,2.26
"21",78.79,2.33
"22",57.49,2.25
"23",20.72,2.15
"24",70.88,2.3
"25",10.29,2.05
"26",58.38,2.22
"27",89.6,2.36
"28",116.59,2.46
"29",128.73,2.45
"30",71.41,2.32
"31",94.21,2.36
"32",16.63,2.08
"33",33.76,2.18
"34",44.69,2.23
"35",112.93,2.4
"36",105.9,2.41
"37",34.03,2.16
"38",17.29,2.07
"39",86,2.36
"40",35.71,2.21
"41",41.23,2.17
"42",116.97,2.43
"43",76.89,2.33
"44",21.17,2.16
"45",-11.72,2.01
"46",108.48,2.4
"47",15.07,2.16
"48",77.34,2.3
"49",14.13,2.07
"50",70.67,2.32
"51",111.99,2.43
"52",112.13,2.45
"53",79.63,2.34
"54",39.66,2.18
"55",126.47,2.45
"56",81.26,2.35
"57",13.28,2.08
"58",88.47,2.35
"59",129.25,2.48
"60",33.03,2.22
"61",77.64,2.31
"62",31.65,2.17
"63",20.43,2.12
"64",41.56,2.2
"65",104.16,2.36
"66",19.35,2.1
"67",85.2,2.35
"68",72.96,2.29
"69",52.18,2.25
"70",67.92,2.26
"71",25.07,2.16
"72",129.74,2.46
"73",88.02,2.36
"74",69.46,2.3
"75",125.14,2.41
"76",125.71,2.47
"77",77.81,2.28
"78",92.57,2.38
"79",105.76,2.41
"80",59.82,2.3
"81",67.34,2.29
"82",81.21,2.33
"83",144,2.49
"84",57.71,2.28
"85",72.7,2.27
"86",65.13,2.25
"87",60.28,2.25
"88",17.77,2.11
"89",112.47,2.4
"90",21.56,2.13
"91",52.01,2.22
"92",71.14,2.32
"93",-11.19,2.13
"94",89.23,2.35
"95",126.23,2.42
"96",41.94,2.2
"97",97.89,2.4
"98",16.18,2.08
"99",56.83,2.25
"100",93.47,2.34
"101",119.06,2.42
"102",19.26,2.08
"103",126,2.42
"104",19.91,2.16
"105",73.59,2.31
"106",122.03,2.44
"107",129.02,2.46
"108",40.19,2.18
"109",114.97,2.42
"110",113.37,2.4
"111",55.58,2.25
"112",64.47,2.32
"113",66.8,2.29
"114",80.81,2.31
"115",142.04,2.48
"116",88.04,2.37
"117",79.96,2.3
"118",21.6,2.14
"119",129.47,2.45
"120",46.71,2.21
"121",76.96,2.37
"122",123.59,2.44
"123",66.37,2.29
"124",87.89,2.33
"125",72.97,2.33
"126",93.32,2.38
"127",31.89,2.16
